|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
29|350270 Apiaí|2020|350270|Apiaí|5060|5345|9803|4018|12130|12096|24226|39280.66|29.86||60049.58|130.83||4.0|1.0|5.0|20.0|8.0||41.0|44.0|45.0|||||
30|350275 Araçariguama|2020|350275|Araçariguama|5951|5654|8892|2363|11661|11199|22860|46950.32|50.97||16522.92|19.83||5.5|1.0|6.5|10.0|7.0||13.0|17.0|20.0|||||
31|350280 Araçatuba|2020|350280|Araçatuba|33746|37795|89150|37438|95896|102233|198129|1904832.77|14023.32||169336.33|3547.33||47.0|113.5|160.5|62.5|246.0||702.0|820.0|830.5|||||
32|350290 Araçoiaba da Serra|2020|350290|Araçoiaba da Serra|7008|7228|14949|5591|17424|17352|34776|60921.17|65.22||13306.42|11.67||4.5|10.5|15.0|12.5|14.5||23.5|27.0|29.0|||||
33|350300 Aramina|2020|350300|Aramina|997|1138|2481|1039|2828|2827|5655|3773.98|13.44||960.83|4.75||1.5|0.0|1.5|10.5|0.0||10.5|10.5|12.5|||||
34|350310 Arandu|2020|350310|Arandu|1209|1362|2672|1122|3197|3168|6365|3049.12|0.0||1768.5|0.0||2.0|0.0|2.0|3.0|0.0||3.0|3.0|3.5|||||
35|350315 Arapeí|2020|350315|Arapeí|489|509|1043|419|1252|1208|2460|6531.13|||681.0|||1.0|0.0|1.0|4.0|0.0||3.0|3.0|4.0|||||
36|350320 Araraquara|2020|350320|Araraquara|41441|47668|105846|43384|114999|123340|238339|1681436.13|9335.7||118352.58|1840.83||66.5|98.0|164.5|102.5|372.0||702.0|767.0|781.5|||||
37|350330 Araras|2020|350330|Araras|24592|28063|59708|23143|66691|68815|135506|614547.54|364.29||72381.92|622.25||20.0|37.0|57.0|40.0|122.0||271.0|302.5|306.5|||||
38|350335 Arco-Íris|2020|350335|Arco-Íris|306|306|773|388|868|905|1773|302.41|0.0||300.0|0.0||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|||||
39|350340 Arealva|2020|350340|Arealva|1460|1592|3576|1985|4405|4208|8613|72729.78|40.87||6832.25|16.0||3.0|1.0|4.0|9.0|4.5||8.0|9.0|13.5|||||
40|350350 Areias|2020|350350|Areias|862|870|1580|584|1930|1966|3896|7780.4|135.21||2725.5|19.92||1.0|0.0|1.0|4.0|0.0||3.0|3.0|5.0|||||
41|350360 Areiópolis|2020|350360|Areiópolis|2442|2677|4784|1255|5819|5339|11158|19468.57|101.55||11628.58|31.92||2.0|1.0|3.0|7.0|2.0||11.0|12.0|14.0|||||
42|350370 Ariranha|2020|350370|Ariranha|1957|2123|4137|1544|5003|4758|9761|11280.41|0.0||5077.0|0.0||9.0|0.0|9.0|7.0|1.0||12.0|13.0|14.0|||||
43|350380 Artur Nogueira|2020|350380|Artur Nogueira|11436|12680|23622|7602|27827|27513|55340|40799.11|1723.02||13225.25|170.83||8.0|10.0|18.0|23.0|24.0||77.0|83.0|87.5|||||
44|350390 Arujá|2020|350390|Arujá|19365|21263|38256|12273|44842|46315|91157|144517.42|52.36||44302.92|18.5||6.0|21.0|27.0|16.0|32.0||43.5|54.5|56.5|||||
45|350395 Aspásia|2020|350395|Aspásia|280|324|839|375|902|916|1818|530.56|0.0||141.92|0.0||2.0|0.0|2.0|2.0|0.0||1.0|1.0|2.0|||||
46|350400 Assis|2020|350400|Assis|19023|20953|45831|19280|51644|53443|105087|732438.86|21417.9||57619.58|1564.75||26.5|72.0|98.5|57.5|189.5||402.5|414.0|425.5|||||
47|350410 Atibaia|2020|350410|Atibaia|26972|29598|61928|25590|70494|73594|144088|394654.7|637.79||49778.83|601.58||19.5|96.0|115.5|33.0|143.5||315.5|322.0|325.5|||||
