|Município|data_ref|Code|Cidades|0 a 14 anos|15 a 29 anos|30 a 59 anos|60+ anos|Masculino|Feminino|Pop_Total|Atendimentos_valor_medio|Psi_valor_medio|Psi_privado_valor_medio|Atendimentos_qtd_media|Psi_qtd_media|Psi_privado_qtd_media|Profissionais_Publicos|Profissionais_Privados|Profissionais_Total|Estabelecimentos_Publicos|Estabelecimentos_Privados|Estabelecimentos_Total_x|Estabelecimentos_Psi|Estabelecimentos_Atend|Estabelecimentos_Total_y|Contribuição para o PIB estadual %|PIB (mil R$)|Assalariados|Renda média em Salários mínimos|Renda média (R$)
1288|355710 Votuporanga|2019|355710|Votuporanga|15402|18678|42662|17805|46240|48307|94547|1081797.98|1130.84||222671.42|1838.92||13.0|55.0|68.0|40.0|87.5||284.0|353.5|361.0|||25603.0|2.1|2122.01
1289|355715 Zacarias|2019|355715|Zacarias|520|519|1161|518|1353|1365|2718|12430.62|0.0||8066.33|0.0|||||3.0|0.0||1.0|1.0|3.0|||397.0|2.5|2518.11
1290|350010 Adamantina|2018|350010|Adamantina|5483|6692|15349|7499|17028|17995|35023|438402.85|45044.45||35964.83|3427.83||15.0|21.5|36.5|18.5|54.0||116.5|126.0|131.0|0.05|1084405.125|10192.0|2.1|2040.95
1291|350020 Adolfo|2018|350020|Adolfo|597|662|1571|741|1768|1803|3571|3080.16|||7745.17|||2.0|0.0|2.0|2.0|1.0||4.0|4.0|5.0|0.0|92373.72|528.0|2.1|2022.95
1292|350030 Aguaí|2018|350030|Aguaí|7841|8416|14668|5029|18352|17602|35954|60884.08|154.95||18038.83|22.92||3.5|11.5|15.0|12.0|20.0||58.0|62.0|68.0|0.05|1008187.311|5508.0|2.3|2222.65
1293|350040 Águas da Prata|2018|350040|Águas da Prata|1328|1479|3470|1860|4028|4109|8137|6040.25|19.34||8416.42|6.83||1.0|0.0|1.0|3.0|1.0||2.0|3.0|4.0|0.01|168304.728|743.0|2.0|1918.83
1294|350050 Águas de Lindóia|2018|350050|Águas de Lindóia|3268|3809|8045|3477|9105|9494|18599|26621.25|0.0||5839.5|555.08||4.0|2.5|6.5|7.0|18.0||33.5|38.5|39.5|0.02|491522.068|4617.0|2.0|1949.11
1295|350055 Águas de Santa Bárbara|2018|350055|Águas de Santa Bárbara|1187|1273|2493|1087|2981|3059|6040|1593.33|18.4||5934.42|6.5||2.0|1.0|3.0|4.0|1.0||9.0|10.0|11.0|0.01|166830.491|943.0|2.4|2311.86
1296|350060 Águas de São Pedro|2018|350060|Águas de São Pedro|463|566|1424|927|1600|1780|3380|22470.59|20.19||6748.17|7.92||1.0|0.0|1.0|3.0|3.0||4.5|5.0|6.0|0.01|135946.643|1317.0|2.2|2133.79
1297|350070 Agudos|2018|350070|Agudos|7590|8328|15627|5478|18386|18637|37023|141837.7|24108.9||42416.17|1976.42||12.0|2.0|14.0|14.0|10.0||39.0|42.0|43.0|0.1|2203350.254|7735.0|2.5|2407.74
1298|350075 Alambari|2018|350075|Alambari|1363|1357|2365|833|2974|2944|5918|2046.41|11.56||10794.33|4.08||1.0|0.0|1.0|7.0|0.0||6.0|6.0|8.0|0.0|100497.292|828.0|1.8|1726.74
1299|350080 Alfredo Marcondes|2018|350080|Alfredo Marcondes|606|750|1780|1011|2134|2013|4147|2077.38|||8388.0|||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|0.0|83372.758|796.0|2.1|1965.38
1300|350090 Altair|2018|350090|Altair|942|992|1721|479|2233|1901|4134|2272.35|38.38||4603.17|15.0||1.0|0.0|1.0|7.0|0.0||6.0|7.0|9.0|0.0|106832.795|501.0|2.7|2570.69
1301|350100 Altinópolis|2018|350100|Altinópolis|2902|3534|6725|3003|8076|8088|16164|52709.45|1176.41||21374.75|85.33||7.0|1.5|8.5|14.0|6.5||31.5|35.5|39.5|0.02|497723.203|2733.0|2.1|2034.47
1302|350110 Alto Alegre|2018|350110|Alto Alegre|664|785|1712|949|2110|2000|4110|8453.61|7.31||1545.75|2.58||1.0|0.0|1.0|6.0|0.0||6.0|7.0|8.0|0.0|107711.975|189.0|2.2|2052.49
1303|350115 Alumínio|2018|350115|Alumínio|4174|4544|7608|2158|9381|9103|18484|41744.79|211.03||11006.83|61.58||2.5|1.0|3.5|7.0|4.0||6.0|10.0|12.0|0.1|2105104.507|6393.0|4.8|4615.79
1304|350120 Álvares Florence|2018|350120|Álvares Florence|491|629|1686|906|1896|1816|3712|4663.67|120.7||923.33|47.33||1.0|0.0|1.0|4.0|0.0||3.0|3.0|4.0|0.01|119696.027|379.0|2.1|1961.99
1305|350130 Álvares Machado|2018|350130|Álvares Machado|4659|5506|10340|4325|12254|12576|24830|156979.42|99509.37||26866.17|6426.17||11.0|1.0|12.0|9.0|13.0||20.5|23.5|24.5|0.02|530717.813|3060.0|2.5|2342.85
1306|350140 Álvaro de Carvalho|2018|350140|Álvaro de Carvalho|889|1269|2375|646|3327|1852|5179|1240.28|0.0||1465.92|0.0||2.5|0.0|2.5|3.0|0.0||2.0|2.0|3.0|0.0|49886.48|275.0|2.2|2126.69
1307|350150 Alvinlândia|2018|350150|Alvinlândia|726|702|1289|489|1568|1638|3206|4485.68|0.0||8000.0|0.0||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|0.0|51906.344|269.0|2.0|1951.95
1308|350160 Americana|2018|350160|Americana|40992|49927|107014|39179|116342|120770|237112|574620.16|74876.47||89279.67|4924.58||26.5|189.0|215.5|37.0|209.5||838.5|856.5|861.5|0.51|11332408.168|70836.0|2.9|2762.72
1309|350170 Américo Brasiliense|2018|350170|Américo Brasiliense|9033|9919|16831|4179|20035|19927|39962|96026.69|184.83||25806.17|211.58||10.0|2.0|12.0|17.0|10.0||21.0|27.0|34.0|0.04|959435.488|9444.0|2.3|2180.7
1310|350180 Américo de Campos|2018|350180|Américo de Campos|1000|1166|2553|1237|3014|2942|5956|3076.3|0.0||609.83|0.0||1.0|0.0|1.0|3.5|0.0||5.0|5.5|6.5|0.01|117732.464|516.0|2.0|1940.12
1311|350190 Amparo|2018|350190|Amparo|12136|15157|31532|12875|35278|36422|71700|468862.04|875.64||69817.42|2888.83||23.5|19.5|43.0|30.5|110.5||254.5|265.5|270.5|0.21|4646509.88|22280.0|2.7|2610.83
1312|350200 Analândia|2018|350200|Analândia|1027|1035|1975|896|2535|2398|4933|1162.27|1.42||5214.25|0.5|||||2.0|1.0||3.0|3.0|4.0|0.01|183993.634|808.0|2.5|2368.12
1313|350210 Andradina|2018|350210|Andradina|9855|11617|25137|10503|28244|28868|57112|315319.41|4168.6||72371.75|860.58||21.0|36.0|57.0|20.0|51.0||196.5|203.5|208.5|0.09|1922486.331|14409.0|2.3|2178.71
1314|350220 Angatuba|2018|350220|Angatuba|5342|5689|10274|3664|12617|12352|24969|57771.67|366.09||15744.17|1445.58||4.0|2.0|6.0|12.0|8.5||31.5|31.5|34.5|0.05|1008411.936|3805.0|2.6|2494.46
1315|350230 Anhembi|2018|350230|Anhembi|1580|1498|2648|901|3442|3185|6627|18151.67|142.16||6996.67|55.75||1.0|0.0|1.0|7.0|0.0||7.0|7.0|9.0|0.01|179886.178|675.0|2.2|2101.88
1316|350240 Anhumas|2018|350240|Anhumas|806|884|1725|670|2005|2080|4085|1469.61|0.0||401.75|0.0||1.5|0.0|1.5|5.0|0.0||2.0|3.0|5.0|0.0|74825.193|376.0|2.1|1969.55
1317|350250 Aparecida|2018|350250|Aparecida|7040|7812|15599|5678|17319|18810|36129|48142.54|172.87||15809.33|61.08||5.0|2.0|7.0|19.0|7.0||35.0|39.0|41.0|0.05|1082773.381|11246.0|2.0|1894.53
1318|350260 Aparecida d'Oeste|2018|350260|Aparecida d'Oeste|641|761|1803|1029|2078|2156|4234|12421.01|||8944.33|||2.0|0.0|2.0|5.0|2.0||5.0|5.0|7.0|0.01|128569.452|595.0|2.0|1865.03
1319|350270 Apiaí|2018|350270|Apiaí|5312|5645|9816|3753|12268|12258|24526|41719.9|18.16||27445.42|158.83||4.0|1.5|5.5|21.0|8.0||41.5|45.5|47.5|0.03|594687.476|3684.0|2.2|2101.43
1320|350275 Araçariguama|2018|350275|Araçariguama|5745|5556|8434|2119|11144|10710|21854|78212.54|341.21||28559.33|123.33||5.5|1.0|6.5|6.5|5.0||9.0|12.5|14.5|0.15|3270859.003|10018.0|2.9|2771.99
1321|350280 Araçatuba|2018|350280|Araçatuba|33853|39308|87878|34835|94686|101188|195874|1890813.01|25785.12||161473.58|2614.0||48.5|94.0|142.5|62.0|203.0||607.0|721.0|730.0|0.33|7349421.342|50623.0|2.5|2428.42
1322|350290 Araçoiaba da Serra|2018|350290|Araçoiaba da Serra|6838|7240|14288|5133|16764|16735|33499|78513.43|341.69||25212.17|66.75||4.0|8.0|12.0|13.0|12.0||24.0|25.0|27.0|0.04|861981.608|5088.0|2.3|2229.46
1323|350300 Aramina|2018|350300|Aramina|1002|1194|2418|971|2796|2789|5585|7501.48|0.0||6242.58|0.0||1.0|0.0|1.0|6.0|0.0||7.0|7.0|8.0|0.01|126608.221|655.0|2.1|1969.49
1324|350310 Arandu|2018|350310|Arandu|1236|1438|2634|1040|3191|3157|6348|12200.11|227.88||6856.92|83.17||2.5|0.0|2.5|3.0|0.0||3.5|3.5|4.5|0.01|117579.437|901.0|1.9|1782.31
1325|350315 Arapeí|2018|350315|Arapeí|506|534|1036|402|1256|1222|2478|18816.52|||3486.92|||1.0|0.0|1.0|3.5|0.0||2.5|2.5|3.5|0.0|30703.81|318.0|1.8|1721.34
1326|350320 Araraquara|2018|350320|Araraquara|41049|49292|103162|40241|112787|120957|233744|1810510.45|12435.05||225457.92|1584.33||56.0|86.0|142.0|97.0|316.0||638.0|701.5|716.5|0.43|9409114.424|72064.0|2.7|2590.77
1327|350330 Araras|2018|350330|Araras|24413|29069|58205|21247|65464|67470|132934|681524.72|975.26||105975.42|1259.17||17.0|35.0|52.0|39.0|115.5||291.5|327.5|331.5|0.25|5565138.216|36266.0|2.8|2659.02
1328|350335 Arco-Íris|2018|350335|Arco-Íris|313|340|788|370|890|921|1811|769.06|0.0||1554.92|0.0||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|0.0|53015.126|291.0|2.1|1958.8
1329|350340 Arealva|2018|350340|Arealva|1482|1638|3525|1860|4348|4157|8505|45359.73|185.06||5948.25|65.92||2.0|0.0|2.0|9.0|2.0||8.5|9.0|11.0|0.01|230787.867|1163.0|1.9|1786.55
1330|350350 Areias|2018|350350|Areias|879|889|1559|549|1920|1956|3876|17508.49|40.08||6239.0|14.92||1.0|0.0|1.0|4.0|0.0||3.0|3.0|5.0|0.0|43127.618|336.0|1.7|1643.88
1331|350360 Areiópolis|2018|350360|Areiópolis|2504|2781|4638|1176|5773|5326|11099|32801.31|154.06||6749.33|60.42||2.0|0.5|2.5|6.0|2.0||11.5|12.5|13.5|0.01|143002.102|1014.0|2.1|1955.71
1332|350370 Ariranha|2018|350370|Ariranha|1935|2170|4011|1457|4903|4670|9573|4501.09|0.0||7883.33|0.0||7.5|0.0|7.5|5.0|2.0||8.0|9.0|10.0|0.03|728583.054|3905.0|2.8|2641.5
1333|350380 Artur Nogueira|2018|350380|Artur Nogueira|11273|12675|22622|6880|26847|26603|53450|90867.44|159.42||26083.67|178.58||7.0|6.0|13.0|22.5|19.5||73.0|77.0|82.0|0.05|1184269.482|8501.0|2.5|2399.84
1334|350390 Arujá|2018|350390|Arujá|19305|21251|36970|10929|43535|44920|88455|206274.98|195.31||63305.58|62.17||4.5|15.5|20.0|15.0|34.0||49.5|61.0|63.0|0.28|6155414.339|23074.0|2.9|2793.69
1335|350395 Aspásia|2018|350395|Aspásia|291|349|826|359|907|918|1825|390.03|0.0||118.0|0.0||2.0|0.0|2.0|2.0|0.0||1.0|1.0|2.0|0.0|35205.302|211.0|2.2|2060.73
1336|350400 Assis|2018|350400|Assis|18986|21827|44874|17979|50854|52812|103666|705339.32|7416.39||69656.83|2122.67||25.0|59.5|84.5|46.0|140.5||343.0|349.5|360.5|0.15|3363335.667|20724.0|2.5|2403.78
1337|350410 Atibaia|2018|350410|Atibaia|27195|30404|60365|23434|69241|72157|141398|456430.65|507.1||59362.92|598.08||17.5|81.0|98.5|32.5|111.0||280.0|285.0|288.0|0.32|7140404.267|37984.0|2.8|2713.25
1338|350420 Auriflama|2018|350420|Auriflama|2492|3124|6645|2862|7601|7522|15123|72296.71|42.89||20450.42|14.67||2.0|2.0|4.0|11.0|13.0||22.0|22.0|25.0|0.01|304810.51|2581.0|1.9|1832.69
1339|350430 Avaí|2018|350430|Avaí|1163|1293|2147|766|2662|2707|5369|1639.01|0.0||4403.67|0.0||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|0.01|271908.052|770.0|2.0|1918.23
1340|350440 Avanhandava|2018|350440|Avanhandava|2688|3648|5712|1385|7933|5500|13433|1229.38|0.0||9959.17|0.0||2.0|0.0|2.0|10.0|3.0||15.0|16.0|17.0|0.01|319465.294|1660.0|2.4|2284.01
1341|350450 Avaré|2018|350450|Avaré|17992|19728|37854|14489|44688|45375|90063|568434.2|6594.67||87512.5|668.25||18.5|32.5|51.0|34.0|52.5||215.5|231.5|235.5|0.12|2737160.757|20237.0|2.2|2063.92
1342|350460 Bady Bassitt|2018|350460|Bady Bassitt|3210|3824|7587|2615|8506|8730|17236|35985.0|383.46||17476.5|33.25||4.0|0.0|4.0|5.0|3.5||8.0|10.0|11.0|0.02|353420.964|2586.0|2.4|2256.19
1343|350470 Balbinos|2018|350470|Balbinos|172|1103|4068|189|5132|400|5532|0.0|||518.92|||2.0|0.0|2.0|5.0|0.0||4.0|4.0|5.0|0.0|57562.788|358.0|2.0|1873.46
1344|350480 Bálsamo|2018|350480|Bálsamo|1507|1749|3960|1778|4381|4613|8994|472.44|355.72||38247.17|139.5||3.0|0.0|3.0|3.0|1.0||3.0|3.0|4.0|0.01|203039.716|1253.0|2.4|2317.44
1345|350490 Bananal|2018|350490|Bananal|2321|2355|4379|1841|5400|5496|10896|45653.42|7.07||6482.83|2.5||1.0|0.0|1.0|9.0|0.0||7.0|8.0|10.0|0.01|184553.745|1415.0|2.0|1885.81
1346|350500 Barão de Antonina|2018|350500|Barão de Antonina|772|707|1350|612|1765|1676|3441|4.05|2.59||758.17|0.92||1.0|0.0|1.0|4.0|0.0||2.0|2.0|4.0|0.0|53275.613|498.0|1.8|1685.98
1347|350510 Barbosa|2018|350510|Barbosa|1537|1676|3002|1120|3746|3589|7335|16609.62|||18575.67|||2.0|0.0|2.0|2.0|0.0||1.0|1.0|2.0|0.0|94911.097|688.0|1.8|1733.82
1348|350520 Bariri|2018|350520|Bariri|6786|7730|14392|6053|17611|17350|34961|54781.28|53.77||25741.17|19.0||2.0|3.0|5.0|11.5|18.5||62.5|67.5|68.5|0.05|1160199.259|7893.0|2.1|2046.79
1349|350530 Barra Bonita|2018|350530|Barra Bonita|5797|7136|16565|6629|17495|18632|36127|49397.92|0.0||15109.33|189.92||5.0|14.0|19.0|12.0|24.0||86.0|88.0|90.0|0.06|1282531.674|10817.0|2.6|2474.36
1350|350535 Barra do Chapéu|2018|350535|Barra do Chapéu|1360|1282|2242|804|2997|2691|5688|772.76|0.0||177.08|0.0||1.0|0.0|1.0|7.0|0.0||4.0|4.0|7.0|0.0|81216.322|602.0|1.7|1615.72
1351|350540 Barra do Turvo|2018|350540|Barra do Turvo|1877|1637|2847|1326|4001|3686|7687|9407.3|23.88||4600.58|8.92||1.0|0.0|1.0|8.0|0.0||7.0|7.0|8.0|0.0|91019.789|597.0|2.0|1931.12
1352|350550 Barretos|2018|350550|Barretos|22626|25937|52885|19896|58684|62660|121344|6988196.72|88792.1||236663.0|7070.67||41.0|22.5|63.5|43.5|91.0||249.5|281.0|292.5|0.22|4859369.075|28701.0|2.5|2409.63
1353|350560 Barrinha|2018|350560|Barrinha|7948|8296|13144|3046|16289|16145|32434|20622.38|245.11||27754.42|94.75||5.0|1.0|6.0|14.0|15.0||23.5|27.0|30.0|0.02|517656.128|3792.0|2.1|2029.31
1354|350570 Barueri|2018|350570|Barueri|60264|66832|114624|29586|131152|140154|271306|1753518.16|8400.63||462820.92|5590.08||55.5|38.0|93.5|44.0|202.0||276.0|321.0|325.0|2.29|50566643.987|263148.0|4.4|4234.76
1355|350580 Bastos|2018|350580|Bastos|4108|4413|9006|3427|10285|10669|20954|52525.15|23.82||14327.58|8.42||4.0|2.0|6.0|16.0|13.0||19.0|27.0|32.0|0.04|959525.153|4482.0|2.0|1927.42
1356|350590 Batatais|2018|350590|Batatais|11532|13686|26041|10765|30494|31530|62024|451639.87|7675.64||73188.75|2242.17||13.0|26.0|39.0|22.0|35.5||232.0|239.0|242.0|0.07|1590068.481|14390.0|2.5|2411.35
1357|350600 Bauru|2018|350600|Bauru|69633|81111|161615|61913|181274|192998|374272|3329079.0|48430.33||291054.92|4217.17||99.0|103.5|202.5|98.0|300.5||731.5|776.0|788.0|0.66|14642060.756|122844.0|2.9|2726.42
1358|350610 Bebedouro|2018|350610|Bebedouro|13887|16408|33241|13900|37552|39884|77436|655919.67|49999.31||68115.5|6588.5||22.5|21.5|44.0|29.0|80.0||209.0|250.0|253.0|0.15|3344551.366|25376.0|2.4|2268.92
1359|350620 Bento de Abreu|2018|350620|Bento de Abreu|614|674|1249|418|1510|1445|2955|268.53|||1703.92||||||4.0|0.0||3.0|3.0|4.0|0.01|167547.352|803.0|3.4|3212.17
1360|350630 Bernardino de Campos|2018|350630|Bernardino de Campos|2099|2320|4520|2198|5447|5690|11137|29284.25|259.44||5001.5|100.08||2.0|1.0|3.0|7.5|6.0||13.0|14.5|15.5|0.01|220258.53|1865.0|2.1|2022.87
1361|350635 Bertioga|2018|350635|Bertioga|15785|15394|24546|6011|30357|31379|61736|207432.33|142.92||54333.08|50.5||7.0|5.0|12.0|17.5|22.0||30.0|38.5|43.5|0.08|1690596.244|12693.0|2.9|2802.05
1362|350640 Bilac|2018|350640|Bilac|1219|1657|3552|1521|3983|3966|7949|20514.08|0.0||8215.33|0.0||2.0|0.0|2.0|3.0|2.0||7.0|7.0|8.0|0.01|193041.289|1330.0|2.1|2030.68
1363|350650 Birigui|2018|350650|Birigui|22482|25778|54529|19570|59868|62491|122359|243824.16|1323.82||106732.0|310.5||16.0|22.0|38.0|28.0|80.5||158.5|187.0|188.0|0.15|3336569.6|30900.0|2.1|1983.09
1364|350660 Biritiba-Mirim|2018|350660|Biritiba-Mirim|7262|7523|13018|4448|16284|15967|32251|83983.89|20.05||24520.5|7.08||3.5|2.0|5.5|12.5|5.0||19.5|20.5|23.5|0.03|687602.587|2665.0|2.3|2147.26
1365|350670 Boa Esperança do Sul|2018|350670|Boa Esperança do Sul|3295|3562|6110|1857|7477|7347|14824|43052.82|14.15||8827.75|5.0||3.0|1.0|4.0|11.0|3.0||18.0|19.0|22.0|0.01|309484.033|2254.0|2.1|1996.92
1366|350680 Bocaina|2018|350680|Bocaina|2432|2787|5243|1742|6118|6086|12204|17554.09|48.24||3474.08|18.92||2.0|2.0|4.0|7.0|3.0||18.0|19.0|20.0|0.01|217465.699|3121.0|2.6|2443.06
1367|350690 Bofete|2018|350690|Bofete|2412|2398|4689|2035|5804|5730|11534|11040.19|134.3||8363.83|52.67||2.0|0.0|2.0|2.0|0.0||1.0|1.0|2.0|0.01|187116.06|1533.0|2.3|2185.73
1368|350700 Boituva|2018|350700|Boituva|12855|14228|25547|7163|30196|29597|59793|185928.92|1626.53||54969.92|778.25||11.5|8.5|20.0|16.0|38.5||69.5|80.5|84.5|0.11|2381517.146|22193.0|3.0|2846.57
1369|350710 Bom Jesus dos Perdões|2018|350710|Bom Jesus dos Perdões|5397|5995|10501|3005|12629|12269|24898|6302.84|1.65||14614.25|0.58||3.0|0.0|3.0|5.0|2.0||14.0|15.0|16.0|0.04|908427.959|5339.0|2.5|2410.46
1370|350715 Bom Sucesso de Itararé|2018|350715|Bom Sucesso de Itararé|1041|1023|1474|385|1997|1926|3923|1531.27|153.21||341.42|60.08||1.0|0.0|1.0|3.0|0.0||1.0|1.0|3.0|0.0|62659.767|549.0|1.9|1858.59
1371|350720 Borá|2018|350720|Borá|158|202|372|104|434|402|836|530.19|8.25||2154.83|2.92||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|0.0|70889.584|1035.0|2.9|2764.12
1372|350730 Boracéia|2018|350730|Boracéia|1081|1099|1864|732|2415|2361|4776|4162.92|0.0||8674.25|0.0||1.0|0.0|1.0|3.0|0.0||3.0|3.0|4.0|0.02|383171.533|1173.0|2.5|2407.8
1373|350740 Borborema|2018|350740|Borborema|2918|3344|6914|2749|8105|7820|15925|45567.22|116.57||7356.83|44.17||2.0|2.0|4.0|9.0|9.5||31.5|35.0|36.0|0.02|372245.412|2397.0|1.9|1807.73
1374|350745 Borebi|2018|350745|Borebi|600|602|1054|365|1278|1343|2621|534.57|0.0||4586.58|0.0||1.0|0.0|1.0|3.0|0.0||1.0|2.0|3.0|0.0|65278.153|601.0|2.2|2053.56
1375|350750 Botucatu|2018|350750|Botucatu|28459|31544|61195|23622|70438|74382|144820|2493913.3|9585.73||245946.42|7337.5||82.5|83.0|165.5|43.5|100.0||555.5|592.5|600.5|0.21|4623409.471|38827.0|3.1|2963.01
1376|350760 Bragança Paulista|2018|350760|Bragança Paulista|30961|36965|72217|26610|82055|84698|166753|1515606.01|841.32||103895.08|1095.33||29.5|41.0|70.5|54.5|167.5||353.0|367.5|373.5|0.29|6305506.737|42911.0|2.5|2419.13
1377|350770 Braúna|2018|350770|Braúna|1155|1198|2263|1014|2880|2750|5630|1131.94|0.0||6968.17|0.0||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|0.0|98162.789|429.0|2.4|2320.65
1378|350775 Brejo Alegre|2018|350775|Brejo Alegre|522|657|1218|444|1467|1374|2841|1162.37|0.0||3762.67|0.0||1.0|0.0|1.0|4.0|0.0||2.0|2.0|4.0|0.0|83159.081|638.0|2.2|2065.0
1379|350780 Brodowski|2018|350780|Brodowski|4843|5851|10177|3721|12139|12453|24592|76854.8|2662.1||22295.92|282.42||7.0|2.0|9.0|11.0|10.0||48.0|49.0|50.0|0.03|668979.715|4633.0|2.1|1983.53
1380|350790 Brotas|2018|350790|Brotas|5042|5535|9958|3628|11957|12206|24163|54733.03|0.0||18854.83|0.0||3.0|5.5|8.5|10.0|12.5||62.5|65.5|67.5|0.03|657853.884|6133.0|2.8|2661.6
1381|350800 Buri|2018|350800|Buri|5091|4684|7449|2565|10012|9777|19789|72176.2|110.12||24096.08|224.92||1.5|0.0|1.5|14.0|2.0||14.0|15.0|17.0|0.02|413706.034|3825.0|1.7|1597.35
1382|350810 Buritama|2018|350810|Buritama|3218|3452|7408|2925|8641|8362|17003|395936.58|347.19||39806.75|1436.75||3.0|1.5|4.5|10.0|12.0||13.0|17.0|22.0|0.03|635662.408|4378.0|2.4|2263.14
1383|350820 Buritizal|2018|350820|Buritizal|832|932|1881|802|2302|2145|4447|4034.7|12.42||5268.08|0.92||1.0|0.0|1.0|3.0|2.0||6.0|6.0|7.0|0.01|177965.495|1584.0|3.5|3375.41
1384|350830 Cabrália Paulista|2018|350830|Cabrália Paulista|887|982|1760|657|2204|2082|4286|6641.51|0.0||7423.75|0.0||1.0|0.0|1.0|4.0|0.0||3.0|3.0|4.0|0.0|82550.447|667.0|2.0|1894.81
1385|350840 Cabreúva|2018|350840|Cabreúva|11722|12422|19835|4987|24703|24263|48966|148971.14|193.86||43385.33|68.5||9.5|7.0|16.5|15.5|12.5||26.5|31.5|33.5|0.21|4677142.2|14024.0|3.3|3122.43
1386|350850 Caçapava|2018|350850|Caçapava|18954|20388|39886|14260|46435|47053|93488|249137.51|761.85||185882.42|848.33||12.5|41.0|53.5|33.5|94.5||261.5|273.5|279.5|0.2|4318444.515|20958.0|3.2|3036.87
1387|350860 Cachoeira Paulista|2018|350860|Cachoeira Paulista|6677|7075|14011|5304|16227|16840|33067|26451.58|56.51||7227.17|91.33||9.0|4.0|13.0|17.0|13.5||51.5|56.5|59.5|0.03|608491.61|5061.0|2.3|2198.53
1388|350870 Caconde|2018|350870|Caconde|3769|4148|7610|3434|9462|9499|18961|19152.49|204.64||14292.25|80.25||4.0|0.5|4.5|10.0|13.0||28.0|33.0|36.0|0.02|357342.129|1617.0|1.9|1831.73
1389|350880 Cafelândia|2018|350880|Cafelândia|3352|3734|7415|3188|8741|8948|17689|102974.98|20.75||12278.83|435.08||4.0|7.5|11.5|7.0|11.0||38.0|38.0|40.0|0.02|505032.848|3473.0|2.1|1981.52
1390|350890 Caiabu|2018|350890|Caiabu|743|899|1773|775|2158|2032|4190|2249.04|0.0||473.5|0.0||1.0|0.0|1.0|5.0|0.0||2.0|3.0|5.0|0.0|58214.357|344.0|1.9|1852.26
1391|350900 Caieiras|2018|350900|Caieiras|22006|24147|42909|11067|48698|51431|100129|196356.55|2178.2||59125.67|765.92||13.0|15.5|28.5|22.5|39.0||45.5|63.5|67.5|0.16|3556312.285|19512.0|2.8|2638.97
1392|350910 Caiuá|2018|350910|Caiuá|1016|1162|2589|1033|3108|2692|5800|855.46|||3559.92|||3.5|0.0|3.5|6.0|0.0||5.0|5.0|6.0|0.0|75610.509|421.0|2.1|1987.67
1393|350920 Cajamar|2018|350920|Cajamar|18049|19701|31076|6812|37665|37973|75638|313994.59|1004.72||79463.33|394.0||15.0|5.5|20.5|11.5|31.0||41.0|48.5|52.5|0.77|16970110.949|39080.0|3.3|3173.92
1394|350925 Cajati|2018|350925|Cajati|6979|6680|11066|3880|14341|14264|28605|79474.22|49.54||25838.25|211.67||4.0|3.0|7.0|14.5|11.0||35.5|39.5|41.5|0.07|1452475.489|5371.0|3.2|3020.17
1395|350930 Cajobi|2018|350930|Cajobi|1811|2338|4486|1851|5408|5078|10486|23388.69|0.0||7005.83|0.0||2.0|0.0|2.0|5.5|5.0||9.0|9.0|10.5|0.01|155965.846|1250.0|2.0|1877.69
1396|350940 Cajuru|2018|350940|Cajuru|5511|5994|10541|3889|12934|13001|25935|118237.15|14790.36||20213.75|941.0||4.0|7.0|11.0|17.0|24.5||52.5|62.5|65.5|0.03|572165.498|4214.0|2.2|2088.44
1397|350945 Campina do Monte Alegre|2018|350945|Campina do Monte Alegre|1287|1335|2473|896|3063|2928|5991|1319.01|181.26||3895.25|71.08||2.0|0.0|2.0|4.0|0.0||2.0|2.0|4.0|0.0|108651.045|672.0|2.8|2638.55
1398|350950 Campinas|2018|350950|Campinas|219046|263943|521230|189875|575865|618229|1194094|10508647.67|440967.77||466452.58|76607.42||256.5|326.5|583.0|147.5|903.5||2232.0|2514.5|2535.0|2.78|61397262.531|401348.0|3.9|3695.8
1399|350960 Campo Limpo Paulista|2018|350960|Campo Limpo Paulista|18180|19389|35372|10794|40925|42810|83735|334674.61|8871.46||129237.92|546.58||19.5|3.0|22.5|19.5|14.5||28.5|37.5|41.5|0.1|2111048.316|12560.0|3.6|3400.78
1400|350970 Campos do Jordão|2018|350970|Campos do Jordão|11103|12428|22031|6201|25291|26472|51763|72283.78|66.68||61100.83|113.92||9.0|5.0|14.0|22.0|23.0||67.0|74.0|76.0|0.06|1247875.469|12663.0|2.1|1976.17
1401|350980 Campos Novos Paulista|2018|350980|Campos Novos Paulista|1090|1095|1946|801|2543|2389|4932|697.33|||4253.75|||1.0|0.0|1.0|2.0|0.0||1.0|1.0|2.0|0.01|141778.019|519.0|2.2|2142.54
1402|350990 Cananéia|2018|350990|Cananéia|2784|2783|4888|2084|6300|6239|12539|2276.77|267.96||9733.83|105.08||1.0|0.0|1.0|7.0|0.0||6.5|6.5|7.5|0.01|300656.908|1382.0|2.2|2103.68
