|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
2518|5847465.52|2996.05|81.5|355220|355220 Sorocaba|8248.99|168.0|187209.0|548.0|251.5|466.5|1.51|128224|324954|3.2|155765|921.5|Sorocaba|90688|32115159.62|993.0|662796|16358.0|2017|337842|288119|610533.42|83.5
2520|1348582.0|3636.35|40.5|355240|355240 Sumaré|18368.59|15.0|52747.0|117.0|49.0|76.5|0.64|59642|136354|3.9|67872|188.5|Sumaré|30311|13615799.679000001|205.0|274606|1791.33|2017|138252|116781|119060.92|34.0
2522|1068761.82|2837.63|51.5|355250|355250 Suzano|1873.31|27.0|51759.0|162.5|47.5|111.0|0.51|64469|142843|3.0|72275|166.0|Suzano|33663|10731167.807|217.0|291566|2436.5|2017|148723|121159|207889.42|20.5
2525|1699186.36|2466.82|38.0|355280|355280 Taboão da Serra|14172.22|11.0|58616.0|95.0|43.0|57.0|0.4|63205|134428|2.6|69276|95.0|Taboão da Serra|29759|8441674.809|115.0|281376|1905.08|2017|146948|119136|268401.67|32.0
2540|327607.96|2460.49|39.0|355400|355400 Tatuí|11264.67|31.5|26607.0|127.5|47.5|88.5|0.18|25191|59076|2.6|28369|288.0|Tatuí|16492|3771558.4889999996|317.0|119270|1213.58|2017|60194|49218|91918.67|16.0
2541|3175805.42|3181.62|81.5|355410|355410 Taubaté|30808.96|107.5|77390.0|355.0|161.0|273.5|0.76|61533|151906|3.4|70700|572.5|Taubaté|43839|16203120.941|719.5|308710|4523.0|2017|156804|132638|327800.33|53.5
2553|600700.66|1882.62|29.0|355500|355500 Tupã|26533.07|18.5|15116.0|111.5|37.0|82.5|0.08|11164|31809|2.0|12753|191.0|Tupã|13384|1761020.408|210.5|65428|2033.42|2017|33619|28127|76767.33|18.5
2566|194253.52|3072.51|33.0|355620|355620 Valinhos|16472.17|24.5|45177.0|107.0|42.0|74.0|0.27|22435|61563|3.3|26607|349.0|Valinhos|18530|5751193.261|381.5|125002|1264.83|2017|63439|57430|106573.42|17.5
2571|135438.93|2783.53|21.5|355650|355650 Várzea Paulista|56157.33|0.0|16835.0|37.5|10.0|16.0|0.13|26281|59532|3.0|29832|29.5|Várzea Paulista|12942|2680408.53|40.5|119275|4496.58|2017|59743|50220|53266.08|10.0
2573|185177.09|3210.3|19.0|355670|355670 Vinhedo|4121.88|28.0|34638.0|89.5|51.0|70.5|0.41|14389|37551|3.4|16683|233.0|Vinhedo|10790|8704161.117999999|257.0|75854|2208.58|2017|38303|33992|63003.5|23.0
2577|283299.0|2602.22|30.5|355700|355700 Votorantim|995.49|9.0|18510.0|73.5|18.0|43.0|0.14|25679|59720|2.8|29532|99.5|Votorantim|14599|2995815.499|107.0|120155|1563.83|2017|60435|50345|95346.0|9.0
2578|949058.72|2076.09|35.5|355710|355710 Votuporanga|1077.61|44.5|25572.0|126.0|59.5|90.5|0.13|15386|45421|2.2|19535|298.0|Votuporanga|16460|2791186.586|364.0|92905|1766.58|2017|47484|41524|185299.58|15.0
2580|315750.53|1789.63|20.0|350010|350010 Adamantina|39565.3|17.0|9635.0|67.0|28.0|47.0|0.05|5629|16967|2.0|7148|129.5|Adamantina|7072|979975.651|136.0|34933|3362.58|2016|17966|15084|38537.33|11.0
2598|607506.51|2556.88|41.0|350160|350160 Americana|65831.76|135.5|71436.0|210.5|166.0|169.5|0.51|40853|113804|2.9|51321|747.0|Americana|35691|10435437.408|764.5|232022|4831.08|2016|118218|104157|106772.17|30.5
2601|385228.26|2378.72|28.5|350190|350190 Amparo|702.81|16.5|22674.0|128.0|40.0|99.5|0.2|12276|34794|2.7|15733|242.0|Amparo|11929|4076977.288|249.0|70687|3262.17|2016|35893|30749|69244.92|23.5
2603|194700.28|2019.04|19.5|350210|350210 Andradina|674.14|31.0|13847.0|52.5|48.0|33.0|0.11|10053|28151|2.3|12203|164.0|Andradina|9926|2202008.517|168.5|57019|310.42|2016|28868|24837|58178.83|17.0
2611|1574317.4|2241.11|62.0|350280|350280 Araçatuba|27792.46|77.0|53434.0|237.5|126.5|175.5|0.32|34010|93435|2.5|40901|539.0|Araçatuba|32355|6609261.267999999|637.0|193535|2745.33|2016|100100|86269|168301.25|49.5
2616|1345374.15|2351.76|95.0|350320|350320 Araraquara|1652.21|73.5|71722.0|379.5|127.5|284.5|0.44|40716|110500|2.7|51011|603.0|Araraquara|37235|9012929.739|663.0|228976|1115.5|2016|118476|100014|163954.17|54.0
2617|594414.97|2444.04|38.0|350330|350330 Araras|1535.34|34.5|35241.0|136.0|49.0|98.0|0.25|24271|64205|2.8|30132|284.0|Araras|19423|5014670.965|317.5|130265|1185.83|2016|66060|56439|91566.92|14.5
2626|717899.99|2177.52|40.0|350400|350400 Assis|3943.14|50.5|20955.0|121.5|78.5|81.5|0.15|18978|50052|2.5|22748|302.0|Assis|16743|3065889.24|318.0|102193|2129.08|2016|52141|43724|131615.67|28.0
2627|432708.23|2455.29|31.5|350410|350410 Atibaia|1328.91|72.0|37500.0|120.0|90.5|88.5|0.27|27446|67942|2.8|31259|249.5|Atibaia|21362|5583469.772999999|255.5|138607|602.5|2016|70665|58540|85729.0|18.5
2631|516441.03|1844.54|31.0|350450|350450 Avaré|904.84|23.5|20001.0|74.5|43.0|43.5|0.12|18085|44090|2.1|20411|194.0|Avaré|13450|2546313.676|207.5|88851|648.75|2016|44761|36905|135652.67|19.5
2642|6916115.61|2112.06|42.0|350550|350550 Barretos|78919.39|18.0|31124.0|118.5|56.5|76.5|0.21|22683|57919|2.4|27037|228.0|Barretos|18676|4251390.071|251.0|119800|7316.33|2016|61881|51404|226857.0|38.5
2644|1600341.53|3941.58|39.0|350570|350570 Barueri|9591.59|29.0|255718.0|208.5|81.5|169.5|2.31|60201|128515|4.5|68037|231.0|Barueri|26124|47063172.57|274.0|265416|6138.92|2016|136901|111054|459273.75|52.5
2646|411943.21|2211.45|22.0|350590|350590 Batatais|8827.98|20.0|14383.0|50.0|36.0|28.0|0.07|11597|30000|2.5|14050|202.5|Batatais|9964|1514048.5969999998|210.5|61032|759.08|2016|31032|25421|68871.08|16.0
2647|3082429.43|2504.65|98.0|350600|350600 Bauru|52387.91|85.5|119060.0|350.5|183.0|252.5|0.65|70237|178806|2.8|83385|647.5|Bauru|57258|13267502.614|696.0|369059|5046.33|2016|190253|158179|368446.5|97.5
2648|619104.33|1990.58|30.0|350610|350610 Bebedouro|38924.61|22.5|23215.0|101.5|42.5|71.5|0.16|14227|37535|2.3|17292|207.5|Bebedouro|12970|3254483.1960000005|242.5|77312|6268.58|2016|39777|32823|81212.83|20.0
2653|187103.45|1747.7|23.5|350650|350650 Birigui|1040.16|19.0|32964.0|83.5|34.0|60.0|0.15|22336|58558|2.0|26373|131.5|Birigui|17953|3043544.348|157.5|119740|295.42|2016|61182|53078|66946.25|15.0
2665|2403067.84|2719.94|40.5|350750|350750 Botucatu|5875.35|67.5|36825.0|130.5|136.0|90.0|0.2|28272|68735|3.1|32108|509.0|Botucatu|21851|4157937.857|543.5|141385|6780.0|2016|72650|59154|198679.08|68.5
2666|1433131.23|2199.77|55.0|350760|350760 Bragança Paulista|1061.78|37.5|41782.0|197.5|66.0|142.5|0.26|30865|80093|2.5|37793|317.5|Bragança Paulista|24360|5315536.121|330.0|162831|1061.25|2016|82738|69813|148530.92|28.5
2676|229347.53|2829.74|30.0|350850|350850 Caçapava|645.82|34.0|20402.0|106.5|45.0|76.5|0.18|18979|45624|3.2|20973|243.0|Caçapava|13021|3750298.7630000003|248.5|91900|903.42|2016|46276|38927|141904.75|11.0
2681|198073.85|2491.43|20.5|350900|350900 Caieiras|2761.29|9.5|22259.0|55.5|24.5|35.0|0.15|21796|47429|2.8|24359|42.5|Caieiras|9906|3056232.894|58.5|97383|907.17|2016|49954|41322|73705.25|15.0
2683|365159.13|2988.84|18.5|350920|350920 Cajamar|1993.77|2.0|39126.0|40.0|15.5|21.5|0.66|17733|36505|3.4|19641|40.5|Cajamar|6119|13385278.185|45.5|73256|753.83|2016|36751|29763|104787.17|13.5
2688|9792627.96|3352.58|145.5|350950|350950 Campinas|360904.58|306.5|400781.0|960.0|568.0|814.5|2.83|218625|566046|3.8|270530|2020.5|Campinas|174582|57778152.30899999|2332.5|1173655|78826.08|2016|607609|509918|652112.17|261.5
2700|392330.7|2173.44|42.5|351050|351050 Caraguatatuba|89.78|15.5|21704.0|103.0|28.5|60.5|0.13|25615|57209|2.5|26905|132.5|Caraguatatuba|15637|2637451.03|160.5|115720|880.17|2016|58511|47563|124998.25|13.0
2701|984024.87|2049.33|36.0|351060|351060 Carapicuíba|682.71|8.5|34919.0|83.0|42.0|47.0|0.26|91213|190937|2.3|97691|77.5|Carapicuíba|41627|5223499.549|93.5|393867|756.33|2016|202930|163336|163707.92|33.5
2706|979671.72|2241.8|46.0|351110|351110 Catanduva|2144.75|33.0|33744.0|204.0|66.0|158.0|0.19|20858|58231|2.5|25646|328.5|Catanduva|21020|3883564.7810000004|440.5|119875|829.5|2016|61644|52351|170155.42|33.0
2725|687508.35|2944.74|46.0|351300|351300 Cotia|915.93|13.0|73012.0|108.0|42.0|62.0|0.54|53979|115246|3.3|57605|100.5|Cotia|24353|10946113.976|124.5|235444|303.67|2016|120198|99507|177256.25|29.0
2729|239261.56|2622.55|29.0|351340|351340 Cruzeiro|1736.85|37.0|15636.0|159.5|49.0|130.5|0.1|16519|39591|3.0|18443|196.5|Cruzeiro|12112|2045233.731|254.0|81193|643.17|2016|41602|34119|53288.25|12.0
2730|390887.47|4136.71|40.0|351350|351350 Cubatão|8833.21|23.0|29426.0|88.0|46.5|48.0|0.65|29670|63701|4.7|32220|159.5|Cubatão|12685|13300613.797|179.0|127824|2033.5|2016|64123|53249|139408.83|23.5
2733|1416327.62|2768.48|58.5|351380|351380 Diadema|1870.02|15.0|91671.0|135.5|65.5|77.0|0.66|92989|200174|3.1|104102|150.5|Diadema|42204|13419389.964000002|176.0|414891|4015.25|2016|214717|175596|198468.25|50.5
2740|509814.52|1786.54|18.0|351440|351440 Dracena|27983.14|22.0|10548.0|52.5|38.0|34.5|0.06|7411|23175|2.0|9595|172.5|Dracena|8613|1127243.1570000001|175.5|46009|4617.0|2016|22834|20390|65122.0|16.0
2748|547831.69|2422.22|30.0|351500|351500 Embu das Artes|666.26|9.5|41330.0|46.5|30.5|16.5|0.47|63834|128385|2.8|68505|54.0|Embu das Artes|24280|9547646.535|60.0|264937|1005.08|2016|136552|108318|249359.0|21.0
2760|601896.19|1845.06|40.0|351550|351550 Fernandópolis|635.72|52.0|15538.0|162.5|69.0|122.5|0.09|11198|33298|2.1|14198|204.5|Fernandópolis|12923|1782979.185|288.0|68221|889.25|2016|34923|29902|73158.58|17.0
2762|257269.54|2143.79|31.0|351570|351570 Ferraz de Vasconcelos|10109.1|3.0|19347.0|45.5|30.5|14.5|0.14|44916|91224|2.4|50170|31.0|Ferraz de Vasconcelos|17069|2802621.791|42.0|187317|2081.83|2016|96093|75162|96950.83|27.5
2767|2476078.51|1887.03|58.5|351620|351620 Franca|65875.46|103.0|82683.0|338.0|159.0|279.5|0.44|71432|167990|2.1|82818|663.5|Franca|47753|8903408.171|758.0|344691|6708.5|2016|176701|142688|311190.0|56.0
2768|279352.09|1959.91|25.0|351630|351630 Francisco Morato|745.76|1.0|9106.0|48.5|15.0|23.5|0.07|43922|84579|2.2|46000|49.5|Francisco Morato|14868|1370268.282|56.5|170245|832.83|2016|85666|65455|104706.33|14.0
2769|765208.08|2359.73|45.5|351640|351640 Franco da Rocha|291.46|5.0|15323.0|67.0|77.0|21.5|0.14|34181|75646|2.7|39013|63.0|Franco da Rocha|13953|2855398.018|73.5|148222|102.58|2016|72576|61075|131407.75|72.0
2790|616173.62|2588.05|34.0|351840|351840 Guaratinguetá|770.77|36.5|29241.0|113.5|52.5|79.5|0.24|22346|57502|2.9|26957|259.0|Guaratinguetá|18540|4791679.602|274.0|119586|454.17|2016|62084|51743|87040.42|16.0
2793|1146930.14|2662.94|57.5|351870|351870 Guarujá|291.96|19.5|48081.0|145.5|64.5|88.0|0.39|71350|152365|3.0|76581|263.0|Guarujá|36172|8050354.2639999995|301.5|313288|1550.92|2016|160923|129185|234854.0|45.0
2794|3740873.82|2671.71|141.0|351880|351880 Guarulhos|44335.74|118.0|323668.0|490.0|263.0|349.0|2.6|306244|651270|3.0|337860|549.0|Guarulhos|139570|53095484.506000005|718.5|1338691|17798.33|2016|687421|555017|706798.67|145.0
2799|516656.11|3955.46|50.5|351907|351907 Hortolândia|2030.27|7.5|43916.0|96.5|36.0|46.0|0.55|47565|112321|4.5|58142|117.5|Hortolândia|21938|11245733.19|133.5|220187|2988.0|2016|107866|92542|130610.42|28.5
2817|1261733.38|3039.17|31.5|352050|352050 Indaiatuba|117252.04|38.5|71846.0|170.5|75.0|139.0|0.6|47595|118212|3.5|57339|324.0|Indaiatuba|29268|12282381.025|378.0|237242|18150.17|2016|119030|103040|292885.5|36.5
2834|294962.23|1886.96|35.0|352210|352210 Itanhaém|1228.04|4.0|13139.0|51.5|26.0|16.5|0.08|22048|46995|2.1|20455|41.0|Itanhaém|17179|1608295.5080000001|58.5|97792|857.5|2016|50797|38110|145625.42|22.0
2836|872911.42|2240.89|22.0|352220|352220 Itapecerica da Serra|65.45|14.0|22614.0|38.5|30.0|16.5|0.15|40138|85527|2.5|44474|43.0|Itapecerica da Serra|15685|3143513.3460000004|50.0|169533|1021.17|2016|84006|69236|169607.08|16.0
2837|834015.1|1857.55|55.5|352230|352230 Itapetininga|3975.55|22.5|32679.0|149.0|68.5|93.5|0.21|34758|79619|2.1|38979|348.0|Itapetininga|20746|4187366.808|369.5|158812|1153.92|2016|79193|64329|128166.92|46.0
2838|721457.77|1815.88|42.5|352240|352240 Itapeva|22666.36|20.0|17986.0|93.5|29.0|51.0|0.12|21487|45929|2.1|23243|191.5|Itapeva|11273|2447764.1459999997|207.0|92947|1894.08|2016|47018|36944|125579.67|9.0
2839|627227.09|3154.87|38.5|352250|352250 Itapevi|2172.24|7.0|34463.0|78.5|21.5|40.0|0.55|58181|111951|3.6|61482|65.0|Itapevi|18512|11272547.245|77.5|227493|1249.33|2016|115542|89318|182865.58|14.5
2840|219992.08|2431.83|24.5|352260|352260 Itapira|27054.64|20.5|21420.0|59.0|40.0|34.5|0.16|12401|36232|2.8|16592|115.0|Itapira|12284|3302773.659|127.0|73328|3762.0|2016|37096|32051|103132.42|19.5
2846|761199.14|2210.76|40.0|352310|352310 Itaquaquecetuba|869.27|0.0|39414.0|60.5|16.0|20.5|0.32|91018|175682|2.5|97080|50.0|Itaquaquecetuba|29744|6520877.544|60.0|357708|279.83|2016|182026|139866|458048.92|16.0
2849|244224.46|2680.31|36.0|352340|352340 Itatiba|11932.64|15.5|31280.0|104.5|35.5|68.5|0.26|22457|57149|3.0|27387|117.0|Itatiba|15222|5387045.903|141.5|115469|1404.58|2016|58320|50403|83787.42|20.0
2854|1049206.93|2531.91|47.0|352390|352390 Itu|449.44|41.5|51816.0|135.5|64.5|88.5|0.37|34641|83413|2.9|40467|250.0|Itu|21398|7551210.917|266.0|168844|622.08|2016|85431|72338|109424.33|23.0
2856|453919.11|2037.9|18.0|352410|352410 Ituverava|4698.1|8.0|6589.0|73.0|21.0|55.0|0.07|7806|20050|2.3|9150|155.0|Ituverava|6799|1489976.436|163.0|41134|399.75|2016|21084|17379|70337.0|13.0
2858|442771.07|2609.06|23.0|352430|352430 Jaboticabal|40938.12|8.0|20065.0|81.5|28.5|58.5|0.13|13996|36983|3.0|17279|113.0|Jaboticabal|12389|2594416.778|129.5|76046|3005.42|2016|39063|32382|76008.0|20.5
2859|828920.71|2807.24|35.0|352440|352440 Jacareí|19054.15|56.0|47323.0|170.5|104.0|135.5|0.52|47269|111125|3.2|52347|346.0|Jacareí|31509|10535706.065|379.5|228176|3246.0|2016|117051|97051|168294.5|48.0
2862|219673.04|3140.7|23.0|352470|352470 Jaguariúna|1608.78|12.5|33501.0|51.0|25.5|28.0|0.47|11006|26527|3.6|13001|69.5|Jaguariúna|6719|9676635.873|76.0|53627|522.33|2016|27100|22901|64331.42|13.0
2863|183011.85|1916.22|28.0|352480|352480 Jales|377.53|24.5|10181.0|107.5|36.0|79.5|0.06|8007|23854|2.2|9803|182.5|Jales|9345|1265684.527|193.5|48815|1594.67|2016|24961|21660|63986.58|11.5
2865|221578.66|2682.43|19.5|352500|352500 Jandira|935.96|6.0|19760.0|29.5|12.0|10.0|0.17|28365|58838|3.0|31570|27.5|Jandira|10438|3560082.684|35.5|120497|336.58|2016|61659|50124|118707.83|6.0
2868|3613729.64|1960.92|38.0|352530|352530 Jaú|48562.06|32.5|36597.0|154.0|62.5|116.0|0.21|28754|71119|2.2|32746|389.5|Jaú|21392|4294014.266|450.0|145156|4069.33|2016|74037|62264|206086.67|30.0
2875|2815165.24|3001.34|79.0|352590|352590 Jundiaí|128555.36|197.0|165524.0|507.0|279.5|428.0|1.98|75631|197869|3.4|88377|1300.0|Jundiaí|63321|40317016.368|1497.0|406307|13538.0|2016|208438|178978|266420.67|82.5
2883|438847.96|2152.94|33.0|352670|352670 Leme|20504.05|13.5|21045.0|106.5|28.5|73.5|0.15|21550|50396|2.4|24902|155.5|Leme|12901|3004228.7410000004|173.5|100405|2597.92|2016|50009|41052|93825.17|15.0
2884|207994.09|2429.92|21.0|352680|352680 Lençóis Paulista|32846.75|10.5|17601.0|62.0|21.0|41.0|0.13|13739|33137|2.8|15893|163.5|Lençóis Paulista|8662|2566510.778|172.0|66684|2411.92|2016|33547|28390|85642.17|10.5
2885|1264185.78|2475.84|54.5|352690|352690 Limeira|41464.58|43.0|78657.0|184.5|94.5|130.0|0.58|57638|146711|2.8|68983|561.5|Limeira|42621|11781232.422|613.5|298701|4969.17|2016|151990|129459|223115.5|51.5
2887|117635.73|2131.97|30.0|352710|352710 Lins|127.11|41.5|24033.0|171.5|61.5|141.5|0.18|14101|37383|2.4|17068|426.5|Lins|12427|3637862.8|437.5|76481|1530.5|2016|39098|32885|54791.67|20.0
2888|194517.66|2213.77|28.0|352720|352720 Lorena|510.82|18.5|16380.0|70.0|29.0|42.0|0.12|18057|42251|2.5|20182|211.0|Lorena|13075|2407534.999|225.5|87395|553.42|2016|45144|36081|70188.17|10.5
2902|226223.06|1988.17|24.5|352850|352850 Mairiporã|1515.17|9.0|13437.0|48.0|21.0|23.5|0.08|19295|48215|2.3|23268|40.5|Mairiporã|11005|1637420.055|56.0|94677|756.08|2016|46462|41109|66607.08|12.0
2908|2676010.09|2301.32|93.5|352900|352900 Marília|16701.11|68.0|62808.0|254.0|162.0|160.5|0.35|42543|112719|2.6|52335|731.0|Marília|38141|7161823.892000001|771.0|233540|3108.33|2016|120821|100521|160578.67|94.0
2911|305496.9|2468.76|29.5|352930|352930 Matão|96.93|16.0|29347.0|107.5|41.0|78.0|0.19|14712|40492|2.8|19024|150.0|Matão|12112|3779667.7369999997|177.5|81744|2014.17|2016|41252|35896|73172.42|25.0
2912|905826.4|2840.35|62.5|352940|352940 Mauá|1394.52|20.0|62833.0|204.0|83.5|141.5|0.71|97945|224783|3.2|117060|230.5|Mauá|49037|14539610.021|247.5|458390|2741.42|2016|233607|194348|389286.92|63.5
2922|187722.85|2194.96|16.0|353030|353030 Mirassol|2660.08|15.0|13223.0|66.5|32.0|50.5|0.09|10592|28678|2.5|12781|105.0|Mirassol|9177|1848213.4419999998|120.0|58326|950.67|2016|29648|25776|49988.83|17.0
2924|220842.18|2113.48|38.0|353050|353050 Mococa|13115.65|37.5|15540.0|147.0|54.0|109.0|0.11|12844|34134|2.4|15153|124.0|Mococa|11397|2142378.192|216.5|68588|3881.58|2016|34454|29194|70032.17|16.5
2925|1874008.81|2364.72|70.5|353060|353060 Mogi das Cruzes|2003.4|34.0|97474.0|174.0|75.5|103.5|0.71|94704|209487|2.7|103646|122.5|Mogi das Cruzes|53521|14562663.699000001|189.0|430376|3169.25|2016|220889|178505|295616.5|41.5
2926|640464.06|2476.19|35.0|353070|353070 Mogi Guaçu|36708.2|17.0|36080.0|120.5|31.0|85.5|0.26|28284|73491|2.8|34626|277.5|Mogi Guaçu|21332|5350783.829|309.0|148305|3070.17|2016|74814|64063|108163.75|14.0
2927|587308.91|2549.3|28.0|353080|353080 Mogi Mirim|7657.06|12.0|26124.0|96.0|38.5|68.0|0.21|16905|45063|2.9|20421|193.5|Mogi Mirim|14485|4276304.641|208.5|91745|3709.92|2016|46682|39934|67494.17|26.5
2932|233851.23|2241.78|20.0|353130|353130 Monte Alto|1256.81|33.0|12355.0|81.0|44.5|61.0|0.09|8483|24378|2.5|10890|187.0|Monte Alto|8580|1776015.5269999998|194.0|49639|522.25|2016|25261|21686|66822.5|11.5
2969|2634177.95|2780.26|82.5|353440|353440 Osasco|4202.65|145.0|157538.0|512.5|203.5|430.0|3.71|145964|332840|3.2|166319|615.0|Osasco|84781|75683470.016|826.0|693640|1819.25|2016|360800|296576|511724.92|58.5
2972|688718.02|2035.84|36.5|353470|353470 Ourinhos|58659.25|43.0|24022.0|156.5|75.0|120.0|0.14|22265|53851|2.3|24805|367.5|Ourinhos|17492|2840996.394|377.0|111008|4987.25|2016|57157|46446|113226.5|32.0
2992|260576.9|3991.95|23.0|353650|353650 Paulínia|553.85|21.0|43167.0|67.5|38.0|44.5|1.79|22395|50183|4.5|24289|122.5|Paulínia|10476|36499592.834|140.0|101353|401.0|2016|51170|44193|97856.5|17.0
3002|216305.26|1880.66|19.0|353730|353730 Penápolis|48163.13|11.5|14461.0|58.0|22.5|39.0|0.08|11557|30595|2.1|13274|142.0|Penápolis|10992|1545655.13|149.5|62310|4024.58|2016|31715|26487|59834.75|11.0
3009|735811.35|2767.69|35.0|353800|353800 Pindamonhangaba|7073.18|32.0|29333.0|114.0|46.5|79.0|0.33|34515|79825|3.1|38806|306.0|Pindamonhangaba|21178|6763530.359|326.5|162681|1561.5|2016|82856|68182|162840.42|14.5
3015|2091957.06|2909.53|118.5|353870|353870 Piracicaba|7707.3|116.5|120945.0|442.5|161.5|324.0|1.07|75937|192977|3.3|90895|697.5|Piracicaba|58957|21824202.931999996|949.5|394408|2334.83|2016|201431|168619|370053.92|45.0
3021|226793.53|2614.17|29.0|353930|353930 Pirassununga|70204.62|20.0|19336.0|84.5|36.0|55.5|0.12|14150|36737|3.0|16550|214.5|Pirassununga|12435|2489882.9080000003|224.5|74947|5296.33|2016|38210|31812|75553.33|16.0
3026|264733.0|1971.3|26.0|353980|353980 Poá|2293.51|5.5|26858.0|42.0|13.5|16.0|0.22|25431|55298|2.2|28829|41.0|Poá|12572|4435624.888|52.0|114643|741.42|2016|59345|47811|83409.42|8.0
3041|988752.94|2031.19|52.0|354100|354100 Praia Grande|37626.67|40.0|46643.0|135.5|67.0|83.5|0.3|67494|147131|2.3|69948|171.5|Praia Grande|44647|6197206.626|201.0|307008|3201.0|2016|159877|124919|399474.25|27.0
3046|2406923.8|2223.61|59.5|354140|354140 Presidente Prudente|102117.6|106.5|65224.0|292.0|164.5|232.5|0.36|41670|107745|2.5|48844|684.0|Presidente Prudente|36281|7397140.445|752.5|223648|10334.83|2016|115903|96853|267032.92|58.0
3068|421020.92|2323.46|21.0|354330|354330 Ribeirão Pires|120005.59|22.5|22038.0|73.0|51.5|52.0|0.15|23180|59159|2.6|27629|84.0|Ribeirão Pires|17025|3000733.1989999996|98.0|120998|9730.83|2016|61839|53164|85386.33|29.0
3069|6735668.15|2573.02|99.5|354340|354340 Ribeirão Preto|28317.17|247.0|218352.0|823.5|415.5|724.0|1.47|126954|326178|2.9|158666|1465.0|Ribeirão Preto|100249|30035541.734|1892.0|676592|5023.83|2016|350414|290723|602171.33|168.5
3073|749104.28|2524.35|45.0|354390|354390 Rio Claro|11590.15|50.5|61896.0|204.0|86.5|159.0|0.44|37721|98312|2.9|45860|390.0|Rio Claro|30805|8920855.877999999|434.5|201465|2759.25|2016|103153|87079|132325.17|36.0
3089|329427.36|2474.01|25.0|354520|354520 Salto|3155.13|21.5|28872.0|82.0|35.0|57.0|0.3|22770|56854|2.8|27740|140.0|Salto|15038|6037530.555|157.5|115303|1301.92|2016|58449|49755|89463.67|13.5
3095|911218.96|2393.01|26.5|354580|354580 Santa Bárbara d'Oeste|142884.67|15.0|44646.0|84.5|35.5|58.0|0.26|34861|94396|2.7|44383|242.0|Santa Bárbara d'Oeste|26534|5375127.208|258.5|190612|9426.08|2016|96216|84834|165951.0|20.5
3114|852670.62|2797.9|20.0|354730|354730 Santana de Parnaíba|2455.44|0.0|57191.0|35.5|31.5|15.5|0.41|29326|64251|3.2|32473|33.5|Santana de Parnaíba|14092|8265334.206|37.5|130516|1800.33|2016|66265|54625|145329.67|31.5
3116|2725673.24|2572.72|89.5|354780|354780 Santo André|5092.1|116.0|193608.0|456.0|208.5|366.5|1.32|129667|341143|2.9|154490|415.5|Santo André|115051|26837380.335|569.5|710652|8390.17|2016|369509|311444|533611.75|92.5
3124|2878590.47|2887.78|95.5|354850|354850 Santos|40548.99|190.0|172931.0|512.5|288.5|417.0|1.06|70132|197874|3.3|82169|1220.5|Santos|94945|21708055.066|1401.5|432231|5058.92|2016|234357|184985|419512.42|98.5
3126|3573627.74|3570.65|99.0|354870|354870 São Bernardo do Campo|9783.87|206.0|251032.0|600.5|318.0|501.5|2.12|162240|396890|4.1|192030|544.0|São Bernardo do Campo|107223|43222829.05899999|808.5|821574|23897.42|2016|424684|360081|703002.5|112.0
3127|1367382.12|3169.25|43.0|354880|354880 São Caetano do Sul|52279.74|66.5|104706.0|360.0|118.5|317.0|0.64|23742|72958|3.6|29687|441.0|São Caetano do Sul|34661|12960847.025|609.5|158530|4698.58|2016|85572|70440|217215.83|52.0
3128|1094701.48|2860.06|55.5|354890|354890 São Carlos|39589.06|34.0|71694.0|266.5|65.0|211.0|0.49|45567|119767|3.3|54764|486.5|São Carlos|37407|9991863.389|538.0|244154|3468.58|2016|124387|106416|170700.75|31.0
3130|996946.07|2176.76|41.0|354910|354910 São João da Boa Vista|892.16|54.5|22394.0|136.0|80.5|95.0|0.14|15685|43258|2.5|18932|439.0|São João da Boa Vista|15592|2787484.5510000004|463.5|89460|2725.5|2016|46202|39251|100219.83|26.0
3137|304251.25|2109.58|20.0|354970|354970 São José do Rio Pardo|149.52|22.5|14448.0|104.0|35.0|84.0|0.08|9524|26766|2.4|12184|124.5|São José do Rio Pardo|9760|1722015.5119999999|162.5|54389|1011.08|2016|27623|22921|54358.33|12.5
3138|5750573.19|2396.97|93.0|354980|354980 São José do Rio Preto|71817.77|105.0|130621.0|702.0|236.0|609.0|0.77|78160|215071|2.7|96644|817.0|São José do Rio Preto|73200|15621477.242999999|993.0|447177|13476.75|2016|232106|199173|584123.5|131.0
3139|3668176.67|3290.19|92.5|354990|354990 São José dos Campos|3687.22|328.0|186765.0|682.0|395.5|589.5|2.04|142967|341783|3.7|165617|1414.5|São José dos Campos|89891|41630242.963|1568.5|697554|7017.0|2016|355771|299079|524704.17|67.5
3144|62662645.83|3694.73|1175.5|355030|355030 São Paulo|486599.49|2059.0|4896632.0|10421.5|4346.5|9246.0|33.5|2388069|5704049|4.2|2784732|14722.0|São Paulo|1706300|683066696.839|17938.5|12022916|140832.92|2016|6318867|5143815|9411682.08|2287.5
