|Atendimentos_valor_medio|Renda média (R$)|Estabelecimentos_Publicos|Code|Município|Psi_valor_medio|Profissionais_Privados|Assalariados|Estabelecimentos_Total|Profissionais_Total|Estabelecimentos_Privados|Contribuição para o PIB estadual %|0 a 14 anos|Masculino|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Psi|Cidades|60+ anos|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|Psi_qtd_media|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media|Profissionais_Publicos
126|997137.25|2511.09|43.0|351110|351110 Catanduva|6032.35|54.5|35418.0|303.5|83.5|260.5|0.19|20838|59526|2.5|23343|357.0|Catanduva|24014|4195220.659|544.0|122497|1448.25|2020|62971|54302|51342.33|29.0
145|649208.74|3121.54|51.0|351300|351300 Cotia|71.63|23.0|75289.0|155.5|44.5|104.5|0.57|55978|124087|3.1|58841|156.0|Cotia|30799|12534568.975|177.5|253608|308.25|2020|129521|107990|156049.67|21.5
149|316788.56|3339.87|36.0|351340|351340 Cruzeiro|224.59|37.0|16263.0|189.0|55.0|153.0|0.11|16228|40284|3.3|17206|222.5|Cruzeiro|14117|2435818.473|284.5|82571|374.5|2020|42287|35020|28792.08|18.0
150|328849.77|4222.84|39.0|351350|351350 Cubatão|5688.53|21.0|27995.0|81.0|46.5|42.0|0.6|29323|65503|4.2|31622|151.5|Cubatão|15305|13183238.55|165.5|131626|1056.83|2020|66123|55376|83045.92|25.5
153|1404320.69|3067.91|53.0|351380|351380 Diadema|1268.75|8.5|88258.0|140.5|59.0|87.5|0.66|91891|205400|3.1|100422|151.0|Diadema|51642|14671971.222000001|179.5|426757|6234.5|2020|221357|182802|143594.25|50.5
160|580020.25|2074.2|19.0|351440|351440 Dracena|11689.89|42.5|11391.0|67.5|55.0|48.5|0.05|7230|23964|2.1|8787|214.0|Dracena|9783|1199690.637|216.0|47043|1951.67|2020|23079|21243|47231.0|12.5
168|407405.58|2753.71|35.0|351500|351500 Embu das Artes|218.39|20.0|42167.0|72.5|41.0|37.5|0.6|64360|133686|2.8|67473|90.5|Embu das Artes|30068|13248193.38|95.5|276535|696.67|2020|142849|114634|142228.83|21.0
180|682930.93|2068.4|41.0|351550|351550 Fernandópolis|512.11|70.5|15691.0|239.0|87.0|198.0|0.09|10724|33925|2.1|12924|236.0|Fernandópolis|14898|2006103.79|381.0|69402|747.67|2020|35477|30856|40651.33|16.5
182|188483.64|2371.22|36.0|351570|351570 Ferraz de Vasconcelos|1590.97|4.0|19442.0|55.0|28.0|19.0|0.14|45396|95512|2.4|49497|44.5|Ferraz de Vasconcelos|21167|3137940.1960000005|52.5|196500|719.0|2020|100988|80440|58184.58|24.0
187|2526206.23|2161.0|63.0|351620|351620 Franca|19883.89|52.0|82195.0|192.5|119.0|129.5|0.45|70323|173294|2.2|79282|212.5|Franca|56640|9992981.252999999|238.5|355901|1661.25|2020|182607|149656|211967.25|67.0
