|Atendimentos_valor_medio|Estabelecimentos_Atend_1000|Estabelecimentos_Privados_1000|Profissionais_Privados_1000|Estabelecimentos_Publicos_1000|Renda média (R$)|Profissionais_Publicos_Prop|Estabelecimentos_Psi_Prop|Estabelecimentos_Publicos|Município|Psi_valor_medio|Estabelecimentos_Atend_Prop|Assalariados|Profissionais_Privados|Estabelecimentos_Total|Estabelecimentos_Psi_1000|Profissionais_Total_1000|Profissionais_Publicos_1000|Atendimentos_valor_medio_1000|Profissionais_Total|Estabelecimentos_Privados|Estabelecimentos_Privados_Prop|60+ anos_1000|Profissionais_Publicos|Contribuição para o PIB estadual %|0 a 14 anos|Assalariados_1000|Masculino|Psi_valor_medio_1000|Psi_qtd_media_1000|Masculino_1000|Profissionais_Privados_Prop|Renda média em Salários mínimos|15 a 29 anos|Estabelecimentos_Publicos_Prop|Estabelecimentos_Psi|Feminino_1000|Cidades|60+ anos|0 a 14 anos_1000|PIB (mil R$)|Estabelecimentos_Atend|Pop_Total|15 a 29 anos_1000|Psi_qtd_media|PIB (mil R$)_1000|data_ref|Feminino|30 a 59 anos|Atendimentos_qtd_media_1000|Estabelecimentos_Total_1000|30 a 59 anos_1000|Atendimentos_qtd_media|Code
62|6253533.04|2.572598568788518|0.8995953856048455|0.23202233927364796|0.37449219672237916|2397.09|0.62|0.47333333333333333|46.0|350550 Barretos|25748.2|0.5266666666666666|30547.0|28.5|156.5|2.3120822580251232|0.6105851033517052|0.3785627640780572|50910.85490055604|75.0|110.5|0.7060702875399361|0.1725106445336351|46.5|0.22|22603|248.68724202779381|59407|209.61956477493834|21.39286673776591|0.48364038979753|0.38|2.4|24890|0.2939297124600639|284.0|0.51635961020247|Barretos|21190|0.18401406788078123|4859369.075|316.0|122833|0.20263284296565257|2627.75|39560.77825177273|2020|63426|54150|1424.0357232991134|1.2740875823272249|0.4408424446199311|174918.58|350550
64|1579124.12|1.3899820204923063|0.8971702132268523|0.19315334570477502|0.1877378313392206|4091.67|0.5685483870967742|0.47404371584699456|52.0|350570 Barueri|3868.89|0.5259562841530054|278250.0|53.5|300.5|1.2527889898982605|0.4476825208858337|0.2545291751810587|5701.179571235676|124.0|248.5|0.826955074875208|0.11959982959181463|70.5|2.29|60408|1004.5779148103486|133705|13.968019582499945|14.788253388306822|0.48272089883097097|0.4314516129032258|4.1|65754|0.17304492512479203|347.0|0.5172791011690291|Barueri|33127|0.21809359452960841|50566643.986999996|385.0|276982|0.23739448772844446|4096.08|182562.92461965035|2020|143277|117693|1141.1159569935953|1.084908044566073|0.4249120881501325|316068.58|350570
66|430893.46|4.215624007621467|0.825658939345824|0.4525246109876151|0.38107335662114955|2499.35|0.3595505617977528|0.4933206106870229|24.0|350590 Batatais|5454.83|0.5066793893129771|14751.0|28.5|76.0|4.104477611940299|0.7065735154017149|0.2540489044140997|6841.750714512544|44.5|52.0|0.6842105263157895|0.18423308986979994|16.0|0.07|11484|234.21721181327408|30975|86.61209907907272|37.406001905366786|0.4918228008891712|0.6404494382022472|2.5|13346|0.3157894736842105|258.5|0.5081771991108288|Batatais|11603|0.18234360114322007|1590068.481|265.5|62980|0.21190854239441093|2355.83|25247.197221340106|2020|32005|26547|863.124483963163|1.2067322959669737|0.4215147665925691|54359.58|350590
67|2916825.07|2.2291238791764765|0.9253961934842617|0.3282388207657851|0.275509692931924|2646.22|0.3882063882063882|0.4841366687004271|104.5|350600 Bauru|20253.57|0.515863331299573|125989.0|124.5|455.5|2.092028146808438|0.5365188757095363|0.2082800549437512|7690.082099252038|203.5|351.0|0.7705817782656421|0.17608628594478734|79.0|0.66|69132|332.1645043330161|183674|53.39765408110267|6.760533302398912|0.4842484912878299|0.6117936117936118|2.7|79006|0.22941822173435786|793.5|0.5157515087121701|Bauru|66789|0.18226350327052415|14642060.756|845.5|379297|0.20829587368210137|2564.25|38603.15466771422|2020|195623|164370|704.6024091938508|1.200905886416186|0.43335433710258714|267253.58|350600
68|578715.24|3.6619173489781445|1.212043066211076|0.45773966862226806|0.3803752175875185|2305.42|0.37719298245614036|0.46110056925996207|29.5|350610 Bebedouro|32281.51|0.538899430740038|27056.0|35.5|123.5|3.133260266907356|0.7349622848301206|0.2772226162078525|7461.997808007221|57.0|94.0|0.7611336032388664|0.19195409709238606|21.5|0.15|13574|348.8620978660306|37575|416.2402166204629|39.09058087808652|0.484494874605119|0.6228070175438597|2.3|15568|0.2388663967611336|243.0|0.515505125394881|Bebedouro|14887|0.17502417639094836|3344551.3660000004|284.0|77555|0.20073496228483012|3031.67|43124.896731351946|2020|39980|33526|501.90729159950996|1.5924182837985945|0.4322867642318355|38925.42|350610
73|225178.51|1.7416301658352218|0.816764491564104|0.19618362787569166|0.2402248504600306|1975.69|0.379746835443038|0.45962732919254656|30.0|350650 Birigui|5698.58|0.5403726708074534|29826.0|24.5|132.0|1.4813865778368553|0.3162960531057069|0.1201124252300153|1803.1157963854168|39.5|102.0|0.7727272727272727|0.17016727657087033|15.0|0.15|22657|238.83154632736242|61146|45.63135094448403|4.134509901267586|0.4896262902076343|0.620253164556962|2.0|25226|0.22727272727272727|185.0|0.5103737097923656|Birigui|21251|0.18142581456243043|3336569.6|217.5|124883|0.2019970692568244|516.33|26717.564440316135|2020|63737|55749|673.4176789474948|1.0569893420241347|0.44640983960987485|84098.42|350650
85|2447889.37|4.381286707621683|0.8303517180854655|0.6379531492607844|0.31053804091001147|2932.7|0.49193548387096775|0.48369132856006364|46.0|350750 Botucatu|4364.47|0.5163086714399363|41370.0|94.5|169.0|4.104502801593195|1.255653817592655|0.6177006683318707|16525.277594005267|186.0|123.0|0.727810650887574|0.1719570647404307|91.5|0.21|28678|279.28171200972116|72089|29.463781813272128|31.080807398906366|0.4866603658948221|0.5080645161290323|2.9|31035|0.27218934911242604|608.0|0.5133396341051779|Botucatu|25472|0.19360021602646324|4623409.471|649.0|148130|0.20951191520961318|4604.0|31211.837379328965|2020|76041|62945|1243.8331195571457|1.140889758995477|0.42493080402349287|184249.0|350750
86|1593172.15|2.3778388933520196|1.2695490022458997|0.2521506101458369|0.31079028692393845|2486.45|0.4591194968553459|0.48865069356872637|53.0|350760 Bragança Paulista|503.67|0.5113493064312736|43836.0|43.0|269.5|2.272287475151437|0.4661854303859077|0.21403482024007084|9342.309992787319|79.5|216.5|0.8033395176252319|0.16972081649885945|36.5|0.29|31094|257.0528871244862|83955|2.9535046002826433|2.686694070942281|0.492309406390552|0.5408805031446541|2.5|36204|0.19666048237476808|387.5|0.507690593609448|Bragança Paulista|28943|0.18233421097382913|6305506.737000001|405.5|170533|0.21229908580743903|458.17|36975.28769798221|2020|86578|74292|506.9849823787771|1.580339289169838|0.4356458867198724|86457.67|350760
96|157317.55|3.209918120777116|1.1945105137973857|0.5472647287882296|0.38413774232250736|3078.96|0.1746031746031746|0.48696383515559294|36.5|350850 Caçapava|371.58|0.5130361648444071|20881.0|52.0|150.0|3.046791134311394|0.6630322675703552|0.11576753878212549|1655.6605064303606|63.0|113.5|0.7566666666666667|0.16362162958597318|11.0|0.2|18953|219.75836157359657|47214|3.910627460060199|6.434780778378833|0.4968953250962975|0.8253968253968254|3.1|19841|0.24333333333333335|289.5|0.5031046749037025|Caçapava|15547|0.19946746932160223|4318444.515|305.0|95018|0.208813066997832|611.42|45448.699351701776|2020|47804|40677|583.5981603485656|1.5786482561198931|0.4280978340945926|55452.33|350850
101|119667.85|0.7005594745803941|0.4573096570177572|0.16540987594259304|0.2529798102651423|2785.78|0.5277777777777778|0.41935483870967744|26.0|350900 Caieiras|1605.54|0.5806451612903226|20865.0|17.0|73.0|0.5059596205302846|0.35027973729019707|0.184869861347604|1164.3673072245194|36.0|47.0|0.6438356164383562|0.1192897105327171|19.0|0.16|22238|203.01629773777668|49920|15.621892483580638|6.693456579907565|0.4857212357090732|0.4722222222222222|2.8|23978|0.3561643835616438|52.0|0.5142787642909268|Caieiras|12260|0.21637557771831673|3556312.285|72.0|102775|0.23330576502067624|687.92|34602.892580880565|2020|52855|44299|270.42247628314277|0.7102894672828995|0.43102894672828995|27792.67|350900
103|184463.66|0.9046115944260528|0.5453332306823723|0.09623527600277157|0.24379603254035467|3103.89|0.6739130434782609|0.4699248120300752|19.0|350920 Cajamar|604.47|0.5300751879699248|41598.0|7.5|61.5|0.8019606333564298|0.29512151307516615|0.1988862370723946|2366.921497677522|23.0|42.5|0.6910569105691057|0.09651756614571304|15.5|0.77|18382|533.7593348217723|38783|7.756178304719378|3.040008212076885|0.49763902789539866|0.32608695652173914|3.1|19788|0.3089430894308943|62.5|0.5023609721046013|Cajamar|7522|0.23586624579772628|16970110.949|70.5|77934|0.2539071522057125|236.92|217749.7747966228|2020|39151|32242|723.1321374496368|0.7891292632227269|0.4137090358508482|56356.58|350920
108|9122995.81|1.552984366349424|0.7311796419814927|0.28382128074661883|0.12852284411167647|3686.0|0.4421052631578947|0.4670624823296579|156.0|350950 Campinas|157197.96|0.5329375176703421|400552.0|344.5|1043.5|1.3610239645672406|0.5087362579420527|0.2249149771954338|7516.111335385306|617.5|887.5|0.8505031145184475|0.16955293822994386|273.0|2.78|219786|330.0005272732066|585397|129.5098006907279|39.44895830587119|0.48228773957976323|0.5578947368421052|3.7|257812|0.14949688548155246|1652.0|0.5177122604202368|Campinas|205802|0.18107385779441618|61397262.531|1885.0|1213792|0.21240212491102264|47882.83|50583.01795612428|2020|628395|530392|270.29892271492974|0.8597024860931691|0.43697107906461735|328086.67|350950
120|1005974.84|1.633046705946235|0.7212960636685604|0.2228723792234316|0.43358808321649417|2709.45|0.42105263157894735|0.4583333333333333|53.5|351050 Caraguatatuba|660.05|0.5416666666666666|26494.0|27.5|142.5|1.381808751185276|0.3849613822950182|0.1620890030715866|8152.872946534942|47.5|89.0|0.624561403508772|0.15212863383283762|20.0|0.15|26300|214.71930236893078|60912|5.349342323870037|7.5317086612258795|0.4936582677548242|0.5789473684210527|2.7|26833|0.37543859649122807|170.5|0.5063417322451759|Caraguatatuba|18771|0.2131470390391364|3325920.0489999996|201.5|123389|0.21746671097099418|929.33|26954.75325191062|2020|62477|51485|686.8406421966303|1.1548841468850546|0.41725761615703183|84748.58|351050
121|836043.01|0.27778949013227244|0.1512960615898984|0.02232236974277189|0.10293092714722596|2252.39|0.8163265306122449|0.46153846153846156|41.5|351060 Carapicuíba|767.15|0.5384615384615384|36452.0|9.0|102.5|0.23810527725623354|0.1215329019328692|0.09921053219009729|2073.606798897771|49.0|61.0|0.5951219512195122|0.12322444150671036|40.0|0.26|90008|90.41055798483568|195241|1.9027339942408286|1.6543356242698724|0.48424908788316967|0.1836734693877551|2.3|93873|0.40487804878048783|96.0|0.5157509121168303|Carapicuíba|49682|0.22324353953415696|5745311.022999999|112.0|403183|0.2328297572070251|667.0|14249.884104736557|2020|207942|169620|223.75323364328355|0.25422698873712435|0.4207022617521076|90213.5|351060
126|997137.25|4.4409250838796055|2.126582691821024|0.4449088549107325|0.3510290047919541|2511.09|0.3473053892215569|0.39622641509433965|43.0|351110 Catanduva|6032.35|0.6037735849056604|35418.0|54.5|303.5|2.914357086295991|0.6816493465146085|0.236740491603876|8140.095267639207|83.5|260.5|0.8583196046128501|0.19603745397846478|29.0|0.19|20838|289.1336114353821|59526|49.24487946643592|11.822738516045291|0.48593843114525254|0.6526946107784432|2.5|23343|0.1416803953871499|357.0|0.5140615688547474|Catanduva|24014|0.1701102884152265|4195220.659|544.0|122497|0.19055976881066475|1448.25|34247.53797235851|2020|62971|54302|419.13132566511837|2.4776116966129784|0.443292488795644|51342.33|351110
145|649208.74|0.699899056812088|0.41205324753162365|0.09069114538973534|0.20109775716854358|3121.54|0.48314606741573035|0.46776611694152925|51.0|351300 Cotia|71.63|0.5322338830584707|75289.0|23.0|155.5|0.6151225513390745|0.17546765086274882|0.08477650547301346|2559.8906185924734|44.5|104.5|0.6720257234726688|0.12144332986341125|21.5|0.57|55978|296.8715497933819|124087|0.28244377148985833|1.2154585028863443|0.4892866155641778|0.5168539325842697|3.1|58841|0.3279742765273312|156.0|0.5107133844358223|Cotia|30799|0.22072647550550456|12534568.975|177.5|253608|0.2320155515598877|308.25|49424.97466562569|2020|129521|107990|615.3184047821836|0.6131510047001671|0.4258146430711965|156049.67|351300
149|316788.56|3.445519613423599|1.8529507938622518|0.44809921158760335|0.43598842208523575|3339.87|0.32727272727272727|0.4388560157790927|36.0|351340 Cruzeiro|224.59|0.5611439842209073|16263.0|37.0|189.0|2.6946506642768044|0.6660934226302213|0.21799421104261787|3836.5595669181675|55.0|153.0|0.8095238095238095|0.17096801540492423|18.0|0.11|16228|196.95776967700525|40284|2.7199622143367526|4.5354906686366885|0.4878710443133788|0.6727272727272727|3.3|17206|0.19047619047619047|222.5|0.5121289556866212|Cruzeiro|14117|0.19653389204442237|2435818.473|284.5|82571|0.20837824417773795|374.5|29499.684792481625|2020|42287|35020|348.69482021532986|2.2889392159474875|0.42411984837291544|28792.08|351340
150|328849.77|1.257350371507149|0.3190858948839895|0.15954294744199474|0.2962940452494188|4222.84|0.5483870967741935|0.47791798107255523|39.0|351350 Cubatão|5688.53|0.5220820189274448|27995.0|21.0|81.0|1.1509884065458194|0.35327366933584553|0.19373072189385077|2498.364836734384|46.5|42.0|0.5185185185185185|0.11627641955236807|25.5|0.6|29323|212.68594350660203|65503|43.21737346724811|8.029036816434443|0.4976448422044277|0.45161290322580644|4.2|31622|0.48148148148148145|151.5|0.5023551577955723|Cubatão|15305|0.22277513561150533|13183238.55|165.5|131626|0.240241289714798|1056.83|100156.79690942519|2020|66123|55376|630.9233738015286|0.6153799401334082|0.4207071551213286|83045.92|351350
153|1404320.69|0.42061407311420784|0.20503471530636874|0.01991765805833296|0.12419245612842905|3067.91|0.8559322033898306|0.4568835098335855|53.0|351380 Diadema|1268.75|0.5431164901664145|88258.0|8.5|140.5|0.3538313372715621|0.13825197946372292|0.11833432140538995|3290.6799185484947|59.0|87.5|0.6227758007117438|0.12101031734687422|50.5|0.66|91891|206.81090175439417|205400|2.9730033719423465|14.609016372314924|0.481304348844893|0.1440677966101695|3.1|100422|0.37722419928825623|151.0|0.518695651155107|Diadema|51642|0.21532394313391462|14671971.222000001|179.5|426757|0.23531424206281326|6234.5|34380.153628411485|2020|221357|182802|336.4777847815033|0.3292271714347978|0.4283514974563979|143594.25|351380
160|580020.25|4.5915439066386075|1.0309716642220947|0.9034287779265778|0.4038858066024701|2074.2|0.22727272727272727|0.49767441860465117|19.0|351440 Dracena|11689.89|0.5023255813953489|11391.0|42.5|67.5|4.549029611206768|1.1691431243755714|0.2657143464489935|12329.576132474545|55.0|48.5|0.7185185185185186|0.20795867610484026|12.5|0.05|7230|242.14016963203878|23964|248.49371851284994|41.486937482728564|0.5094062878642943|0.7727272727272727|2.1|8787|0.2814814814814815|214.0|0.49059371213570563|Dracena|9783|0.15368917798609782|1199690.637|216.0|47043|0.18678655697978444|1951.67|25502.001084114534|2020|23079|21243|1003.9963437705927|1.4348574708245647|0.45156558892927745|47231.0|351440
168|407405.58|0.34534507386045166|0.1356067043954653|0.07232357567758149|0.12656625743576763|2753.71|0.5121951219512195|0.48655913978494625|35.0|351500 Embu das Artes|218.39|0.5134408602150538|42167.0|20.0|72.5|0.3272641799410563|0.14826333013904205|0.07593975446146058|1473.2514148299492|41.0|37.5|0.5172413793103449|0.10873126367367603|21.0|0.6|64360|152.48341077982897|133686|0.7897372846113512|2.519283273365035|0.483432476901658|0.4878048780487805|2.8|67473|0.4827586206896552|90.5|0.516567523098342|Embu das Artes|30068|0.23273726653045726|13248193.38|95.5|276535|0.24399443108467284|696.67|47907.83582548322|2020|142849|114634|514.3248775019437|0.26217296183123295|0.4145370387111939|142228.83|351500
180|682930.93|5.489755338462869|2.8529437192011757|1.0158208697155702|0.5907610731679203|2068.4|0.1896551724137931|0.3824959481361426|41.0|351550 Fernandópolis|512.11|0.6175040518638574|15691.0|70.5|239.0|3.4004783723811993|1.2535661796490014|0.2377453099334313|9840.219734301605|87.0|198.0|0.8284518828451883|0.21466240165989453|16.5|0.09|10724|226.08858534336187|33925|7.378893980000576|10.773032477450217|0.4888187660297974|0.8103448275862069|2.1|12924|0.17154811715481172|236.0|0.5111812339702025|Fernandópolis|14898|0.15452004265006772|2006103.79|381.0|69402|0.18621941730785857|747.67|28905.56165528371|2020|35477|30856|585.7371545488603|3.443704792369096|0.4445981383821792|40651.33|351550
182|188483.64|0.26717557251908397|0.09669211195928754|0.02035623409669211|0.183206106870229|2371.22|0.8571428571428571|0.4587628865979381|36.0|351570 Ferraz de Vasconcelos|1590.97|0.5412371134020618|19442.0|4.0|55.0|0.22646310432569974|0.14249363867684478|0.12213740458015267|959.2042748091603|28.0|19.0|0.34545454545454546|0.10772010178117049|24.0|0.14|45396|98.94147582697201|95512|8.096539440203562|3.6590330788804075|0.48606615776081424|0.14285714285714285|2.4|49497|0.6545454545454545|44.5|0.5139338422391857|Ferraz de Vasconcelos|21167|0.23102290076335877|3137940.1960000005|52.5|196500|0.2518931297709924|719.0|15969.161302798984|2020|100988|80440|296.1047328244275|0.2798982188295165|0.40936386768447836|58184.58|351570
187|2526206.23|0.6701301766502482|0.36386523218535494|0.14610804690068308|0.17701551836044294|2161.0|0.5630252100840336|0.47117516629711753|63.0|351620 Franca|19883.89|0.5288248337028825|82195.0|52.0|192.5|0.5970761531999067|0.33436264579194774|0.1882545988912647|7098.058814108418|119.0|129.5|0.6727272727272727|0.15914538031643632|67.0|0.45|70323|230.94905605772394|173294|55.86916024400044|4.667730632956918|0.4869163053770571|0.4369747899159664|2.2|79282|0.32727272727272727|212.5|0.5130836946229429|Franca|56640|0.1975914650422449|9992981.252999999|238.5|355901|0.22276419566115296|1661.25|28077.980261364813|2020|182607|149656|595.5792481617079|0.5408807505457978|0.4204989589801658|211967.25|351620
188|292862.11|0.3884413369137491|0.197035460753351|0.03659229985419376|0.13511003023086926|2233.78|0.6578947368421053|0.4752851711026616|24.0|351630 Francisco Morato|2571.99|0.5247148288973384|9112.0|6.5|59.0|0.3518490370595554|0.10696210726610483|0.07036980741191107|1648.6920223156733|19.0|35.0|0.5932203389830508|0.10516626978095286|12.5|0.07|44140|51.2967748109867|88294|14.479235277228893|3.507231201409648|0.49705854205018213|0.34210526315789475|2.2|44927|0.4067796610169492|62.5|0.5029414579498179|Francisco Morato|18681|0.2484898639329404|1517245.4|69.0|177633|0.2529203470075943|623.0|8541.461327568639|2020|89339|69885|402.3984845158276|0.3321454909842203|0.39342351927851243|71479.25|351630
189|951806.6|0.6102548373079774|0.22365360529611739|0.05112082406768397|0.3354804079441761|2498.84|0.8857142857142857|0.4664804469273743|52.5|351640 Franco da Rocha|262.11|0.5335195530726257|17150.0|8.0|87.5|0.5335736012064515|0.44730721059223477|0.3961863865245508|6082.142218132556|70.0|35.0|0.4|0.10635048436980804|62.0|0.14|35157|109.59026659509752|79623|1.6749098995475808|1.6369526876773253|0.5087991718426501|0.11428571428571428|2.5|38478|0.6|83.5|0.4912008281573499|Franco da Rocha|16643|0.22465685146844566|2995316.152|95.5|156492|0.24587838355954297|256.17|19140.378754185516|2020|76869|66214|640.4784270122434|0.5591340132402934|0.4231142806022033|100229.75|351640
