"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"118-0 Órgão Público Autônomo Municipal";"120-1 Fundo Público";"121-0 Consórcio Público de Direito Público (Associação Pública)";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"355600 Urupês";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"355610 Valentim Gentil";-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355620 Valinhos";-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;20;1;-;-;-;-;14;-;-;-;-;-;-;1;2;-;61
"355630 Valparaíso";-;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"355635 Vargem";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"355640 Vargem Grande do Sul";-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;7;-;-;-;-;-;-;-;1;-;21
"355645 Vargem Grande Paulista";-;-;13;-;-;-;-;-;-;-;1;-;-;-;-;-;9;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;25
"355650 Várzea Paulista";-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;3;-;-;-;-;-;-;-;1;-;27
"355660 Vera Cruz";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"355670 Vinhedo";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;1;18;-;-;-;-;-;-;-;3;-;64
"355680 Viradouro";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;-;-;-;4;3;-;-;-;-;-;-;-;2;-;25
"355690 Vista Alegre do Alto";-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355695 Vitória Brasil";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355700 Votorantim";-;-;29;-;-;-;-;-;-;-;1;-;-;-;-;-;14;-;-;-;-;-;6;-;-;-;-;-;-;-;3;-;53
"355710 Votuporanga";-;4;25;-;-;-;-;-;-;-;-;-;-;-;-;-;30;1;1;-;-;-;7;-;-;-;-;-;-;-;5;-;73
"355715 Zacarias";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"Total";1;386;7614;1;34;29;9;50;64;1;96;17;5;3;167;237;5922;493;213;1;1;936;9966;18;12;4;88;44;2;60;952;6;27432
&
