"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"350010 Adamantina";-;-;1;-;4;-;17;67;-;1;1;1;-;-;1;-;-;-;-;1;11;-;-;1;-;106
"350020 Adolfo";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350030 Aguaí";-;-;-;-;5;-;3;22;-;3;-;1;-;-;1;-;-;-;1;1;4;-;-;-;-;41
"350040 Águas da Prata";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;7
"350050 Águas de Lindóia";-;-;1;-;3;-;4;12;-;-;-;1;-;-;1;-;-;-;-;1;5;-;-;-;-;28
"350055 Águas de Santa Bárbara";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"350060 Águas de São Pedro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;4
"350070 Agudos";-;-;-;-;7;-;3;16;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;29
"350075 Alambari";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;7
"350080 Alfredo Marcondes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350090 Altair";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350100 Altinópolis";-;-;-;-;7;-;2;19;-;1;-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;34
"350110 Alto Alegre";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"350115 Alumínio";-;-;-;-;2;-;1;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;8
"350120 Álvares Florence";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;7;-;2;3;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;16
"350140 Álvaro de Carvalho";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350160 Americana";-;-;2;-;24;1;19;422;-;1;2;4;1;-;1;-;-;-;-;1;35;-;-;1;-;514
"350170 Américo Brasiliense";-;-;-;-;1;-;5;9;-;1;-;2;-;-;-;-;-;-;-;1;1;-;1;-;-;21
"350180 Américo de Campos";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"350190 Amparo";2;-;2;-;12;-;28;134;-;-;2;2;-;-;2;3;1;-;-;1;23;-;-;-;-;212
"350200 Analândia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"350210 Andradina";-;-;1;-;6;-;4;95;-;-;-;1;-;1;1;-;-;-;1;1;8;-;-;-;-;119
"350220 Angatuba";-;-;1;-;5;-;-;5;-;-;-;1;-;-;1;-;-;-;-;1;5;-;-;-;-;19
"350230 Anhembi";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"350240 Anhumas";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350250 Aparecida";-;-;-;-;2;-;3;7;-;2;-;1;-;-;-;6;-;-;-;1;4;-;-;-;-;26
"350260 Aparecida d'Oeste";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350270 Apiaí";-;-;1;-;8;-;2;20;-;-;-;1;-;-;1;-;-;-;-;1;4;-;-;-;-;38
"350275 Araçariguama";-;-;-;-;1;-;3;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"350280 Araçatuba";-;1;1;-;20;-;89;316;1;1;5;3;-;1;3;-;2;-;-;2;27;1;-;4;1;478
"350290 Araçoiaba da Serra";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;-;-;-;8
"350300 Aramina";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"350310 Arandu";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"350315 Arapeí";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350320 Araraquara";-;-;2;-;28;2;75;378;-;6;1;3;1;-;10;-;-;-;4;2;16;2;-;1;3;534
"350330 Araras";-;-;1;-;24;-;27;223;-;-;1;4;-;-;1;-;-;-;-;1;9;2;-;-;-;293
"350335 Arco-Íris";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"350350 Areias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;4;-;1;10;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;17
"350370 Ariranha";-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"350380 Artur Nogueira";-;-;-;-;12;1;5;20;-;-;-;1;-;-;3;1;-;-;1;1;2;1;-;-;-;48
"350390 Arujá";-;-;1;-;5;-;8;11;-;-;-;2;-;-;-;-;1;-;-;1;7;-;-;-;1;37
"350395 Aspásia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350400 Assis";-;-;1;-;20;1;16;146;-;1;-;4;4;-;6;1;-;-;1;1;18;1;-;-;-;221
"350410 Atibaia";-;-;-;-;17;-;13;177;-;-;-;3;-;-;15;1;-;-;-;1;22;-;-;-;1;250
"350420 Auriflama";-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;14
"350430 Avaí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;4;-;2;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;13
"350450 Avaré";-;-;-;-;16;-;7;127;-;-;-;1;-;-;-;-;1;-;-;1;11;2;-;-;1;167
"350460 Bady Bassitt";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"350470 Balbinos";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350490 Bananal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;1;-;1;-;-;6
"350500 Barão de Antonina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350510 Barbosa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;6;-;1;30;-;-;-;1;-;-;1;-;-;-;-;1;3;-;-;-;-;43
"350530 Barra Bonita";-;-;-;-;6;-;-;48;-;-;-;1;-;-;-;-;-;-;-;1;6;-;-;-;-;62
"350535 Barra do Chapéu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;5
"350550 Barretos";-;-;1;-;16;-;18;154;-;2;2;2;1;-;4;-;-;-;-;3;7;-;-;1;-;211
"350560 Barrinha";-;-;-;-;4;-;1;3;-;-;-;-;-;-;3;-;-;-;-;1;2;-;1;-;-;15
"350570 Barueri";-;-;3;-;16;-;59;76;-;-;-;3;-;-;6;-;-;2;3;1;12;-;-;-;-;181
"350580 Bastos";-;-;-;-;1;1;4;5;-;-;-;1;-;-;-;5;-;-;1;1;3;-;-;-;-;22
"350590 Batatais";-;-;1;-;8;-;9;149;-;1;-;1;-;-;3;-;-;-;1;1;10;-;-;-;-;184
"350600 Bauru";-;-;3;-;23;-;68;408;-;1;3;8;1;1;15;-;1;-;2;2;28;-;-;1;1;566
"350610 Bebedouro";-;-;2;-;16;1;41;98;-;1;-;3;-;-;7;-;-;-;-;1;11;-;-;-;-;181
"350620 Bento de Abreu";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;9
"350635 Bertioga";-;-;1;-;5;-;8;6;-;-;-;1;-;-;1;-;-;-;-;1;5;1;-;-;1;30
"350640 Bilac";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;8
"350650 Birigui";-;-;-;-;10;-;16;73;-;1;1;2;-;-;2;-;-;-;-;1;11;-;-;-;-;117
"350660 Biritiba-Mirim";-;-;-;-;6;1;1;9;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;21
"350670 Boa Esperança do Sul";-;-;-;-;4;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;13
"350680 Bocaina";-;-;-;-;4;-;2;5;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;14
"350690 Bofete";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;6;-;12;37;-;1;-;1;-;-;1;1;-;-;-;1;4;-;-;-;1;65
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;1;8;-;-;-;-;-;-;1;-;-;-;-;-;3;1;1;-;-;15
"350715 Bom Sucesso de Itararé";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350720 Borá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;5;-;4;13;-;-;-;1;-;-;2;-;-;-;1;1;2;-;-;-;-;29
"350745 Borebi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"350750 Botucatu";-;-;3;-;12;1;17;390;-;1;1;3;-;-;3;-;1;-;-;1;6;1;-;-;1;441
"350760 Bragança Paulista";2;-;2;-;25;1;75;135;-;1;-;3;1;-;1;4;-;-;1;1;16;1;-;1;2;272
"350770 Braúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3
