"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"355160 Serra Negra";-;-;1;-;1;-;1;21;-;-;-;1;-;-;1;6;-;-;-;6;-;-;-;-;-;38
"355150 Serrana";-;-;-;-;5;-;6;-;-;-;-;1;-;-;3;-;-;-;-;1;1;-;-;-;-;17
"355170 Sertãozinho";-;-;1;-;10;-;18;77;-;-;-;2;1;-;4;-;-;1;-;10;2;-;-;-;-;126
"355180 Sete Barras";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"355190 Severínia";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;6
"355200 Silveiras";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"355210 Socorro";-;-;1;-;5;-;1;12;-;-;-;1;-;-;1;6;-;-;-;3;-;-;-;-;-;30
"355220 Sorocaba";-;-;5;-;32;1;68;237;-;1;7;7;3;1;26;-;-;4;1;50;6;-;3;-;8;460
"355230 Sud Mennucci";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;8
"355240 Sumaré";-;-;1;-;24;1;13;63;-;1;-;1;1;-;14;1;-;1;1;14;2;-;-;-;-;138
"355255 Suzanápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355250 Suzano";-;-;1;-;18;-;34;46;-;2;-;4;-;-;7;-;-;1;1;16;1;-;1;-;-;132
"355260 Tabapuã";-;-;-;-;2;-;2;4;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;11
"355270 Tabatinga";-;-;-;-;4;-;-;27;-;-;-;1;-;-;1;-;-;1;-;5;1;-;-;-;-;40
"355280 Taboão da Serra";-;-;2;-;11;1;20;25;-;1;1;3;-;-;8;-;1;1;-;5;1;-;1;-;-;81
"355290 Taciba";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"355310 Taiaçu";-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"355320 Taiúva";-;-;-;-;2;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"355330 Tambaú";-;-;-;-;1;-;1;22;-;-;-;1;-;-;1;5;-;1;-;5;1;-;-;-;-;38
"355340 Tanabi";-;-;-;-;6;-;12;3;-;-;-;1;-;-;-;3;-;-;-;2;-;-;-;-;-;27
"355350 Tapiraí";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355360 Tapiratiba";-;-;-;-;2;-;-;2;-;-;-;1;-;-;1;1;-;-;-;2;1;-;-;-;-;10
"355365 Taquaral";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355370 Taquaritinga";-;-;2;-;10;-;7;75;-;-;-;1;1;-;1;-;-;1;-;9;1;-;-;-;1;109
"355380 Taquarituba";-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"355385 Taquarivaí";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"355390 Tarabai";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355395 Tarumã";-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;11
"355400 Tatuí";-;-;-;-;18;-;17;202;-;-;-;1;-;-;5;1;-;1;-;17;2;-;1;-;-;265
"355410 Taubaté";-;-;1;-;45;-;108;283;-;-;1;3;1;1;3;-;-;1;1;26;6;-;-;-;3;483
"355420 Tejupá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355430 Teodoro Sampaio";-;-;-;-;9;-;1;6;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;21
"355440 Terra Roxa";-;-;-;-;4;-;1;3;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;10
"355450 Tietê";-;-;-;-;3;-;8;62;-;-;-;1;-;-;-;5;-;-;-;10;2;-;-;-;-;91
"355460 Timburi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355465 Torre de Pedra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355470 Torrinha";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355475 Trabiju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355480 Tremembé";-;-;-;-;4;-;2;7;-;-;-;1;-;-;-;3;-;1;-;1;-;-;-;-;-;19
"355490 Três Fronteiras";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355495 Tuiuti";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355500 Tupã";-;-;-;-;6;-;6;68;-;-;3;2;-;-;5;7;-;-;-;7;-;-;-;-;-;104
"355510 Tupi Paulista";-;-;-;-;6;-;-;15;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;23
"355520 Turiúba";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355535 Ubarana";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355540 Ubatuba";-;-;1;-;19;-;4;23;-;-;-;1;-;-;-;2;-;-;-;4;1;-;-;-;-;55
"355550 Ubirajara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355560 Uchoa";-;-;-;-;2;-;2;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"355570 União Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"355580 Urânia";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"355590 Uru";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355600 Urupês";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"355610 Valentim Gentil";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355620 Valinhos";-;-;1;-;13;-;18;185;-;-;-;2;-;-;2;-;-;1;-;8;2;-;-;-;-;232
"355630 Valparaíso";-;-;-;-;4;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"355635 Vargem";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355640 Vargem Grande do Sul";-;-;-;-;4;-;1;40;-;-;-;1;-;-;2;2;-;1;-;4;1;-;-;-;-;56
"355645 Vargem Grande Paulista";-;-;-;-;6;-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;12
"355650 Várzea Paulista";-;-;1;-;14;-;5;4;-;-;-;1;-;-;1;-;-;-;-;2;1;-;-;-;-;29
"355660 Vera Cruz";-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"355670 Vinhedo";-;-;1;-;3;-;24;154;-;-;-;1;-;-;3;-;-;-;-;13;1;-;-;-;-;200
"355680 Viradouro";-;-;-;-;5;-;3;16;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;28
"355690 Vista Alegre do Alto";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;6
"355695 Vitória Brasil";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355700 Votorantim";-;-;1;-;15;-;4;31;-;-;-;3;1;-;1;1;-;-;-;6;1;1;-;-;1;66
"355710 Votuporanga";-;-;1;-;14;-;13;128;-;-;-;2;-;-;1;-;-;-;-;14;-;-;-;-;1;174
"355715 Zacarias";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";3;10;254;2;4097;55;6057;27281;21;75;186;714;85;16;1166;357;22;213;44;2968;407;31;68;1;87;44220
&
